"경향신문","X__1","X__2","X__3","X__4","X__5"
"title","com","date","text",NA,NA
"경찰, 이대목동병원 의무기록 분석 착수..""의료진 과실 여부 중점 조사""","경향신문","2017.1199999999999","19일 경찰 의료수사전단팀원들과 질병관리본부 직원들이 서울 양천구 이대목동병원 신생아 중환자실을 압수수색하고 있다. / 김창길 기자 cut@kyunghyang.com이대목동병원에서 발생한 ‘신생아 연쇄 사망 사건’을 수사 중인 경찰이 병원으로부터 확보한 의무기록을 토대로 20일 의료진의 과실 여부를 밝히기 위한 수사에 본격적으로 돌입했다.서울지방경찰청 광역수사대는 전날 8시간에 걸친 병원 압수수색에서 확보한 방대한 양의 전자의무기록 분석에 착수했다고 밝혔다.경찰은 국립과학수사연구원의 부검 결과가 나올 때까지 약 한달 남짓의 시간이 소요되는 만큼, 우선 의료진의 환아 처치 과정에서 잘못된 부분은 없었는지 사실관계를 살필 계획이다.압수수색 전 이미 중환자실 입구 두곳의 폐쇄회로(CC)TV 자료를 확보해둔 경찰은 사건 발생 전후 의료진의 출입 기록과 기타 다른 출입자가 있었는지 확인할 방침이다. 압수수색에서 확보한 신생아들의 인큐베이터에 대해서는 국과수가 기기 결함 여부 등에 대한 자료 분석에 돌입했다.아울러 경찰은 감염원의 매개체가 됐을 가능성이 있는 약물 투입기 등 모든 의료기기를 압수해 국과수에 감정을 의뢰했다.광역수사대 관계자는 “의료진이 신생아들에게 어떤 약을 처방해 주입하고 어떤 처치를 했는지, 이 과정에 문제는 없었는지 중점적으로 볼 것”이라며 “이번주 내로 사건 당시 현장에 있던 의료진 11명을 다시 불러 조사할 계획”이라고 말했다.","○","이대목동병원 신생아 중환자실을 압수수색"
"소방헬기 ‘산소호흡기 고장’…이송하려던 어린이 의식불명","경향신문","2016.0699999999999","119 소방헬기의 산소공급장치가 고장 나 대학병원 중환자실에서 서울로 이송하려던 어린이 환자가 의식불명에 빠졌다.전북소방본부는 지난 7일 전북대병원 중환자실에 입원해 있던 ㄱ양(10)을 서울의 대형 병원으로 이송하기 위해 중앙119구조본부에 요청해 소방헬기를 투입했으나, 헬기에 있던 산소공급 연결기기 결함으로 산소가 제대로 공급되지 않아 의식불명에 빠졌다고 18일 밝혔다.7일 ㄱ양은 폐부종에 맹장 증상까지 겹쳐 수술 결과를 장담할 수 없다는 대학병원 의료진의 소견에 따라 서울로 가기 위해 산소마스크를 착용하고 중환자실에서 100여m 떨어진 헬기 주기장으로 옮겨져 헬기를 기다렸다.이때까지만 해도 ㄱ양은 부모와 의사소통을 할 수 있었다. 하지만 헬기가 예정보다 10여분 늦게 도착했다. 의료진은 이동식 침대에 달린 산소통의 호흡률이 떨어지자 휴대한 수동식 산소공급기로 산소를 공급했다. 헬기가 도착하자 ㄱ양을 옮겨 기내 산소호흡기를 댔지만 작동하지 않았다. 10여분이 더 지체됐고 산소공급이 끊긴 ㄱ양은 입술이 파래지는 청색증세를 보이기 시작했다. 의료진은 헬기 이송을 포기하고 응급실로 ㄱ양을 다시 데려왔다. 이 와중에 ㄱ양은 자가 호흡이 불가능한 위험한 상태에 빠졌다. 의료진은 인공호흡기를 호흡기관 내에 강제로 삽관시켜 위기를 모면했다.ㄱ양의 어머니 고모씨는 “8일 서울에서 수술을 받은 딸은 현재 의식이 오락가락하는 상태”라면서 “소방헬기나 병원 측이 산소호흡기 하나 제대로 갖추지 못했다는 게 납득되지 않는다”고 말했다.국민안전처는 “비행 전 소방헬기 내 의료장비는 이상이 없었으나 장기 사용 및 착륙 과정 중 발생한 충격으로 결함이 생긴 것으로 추정된다”고 밝혔다. 중앙119구조본부는 “병원의 책임도 있다”고 주장했다. 병원 측은 “이동식 침대에 달린 산소통에는 산소가 충분했고, 환자의 산소 소화율이 떨어져 수동식 산소호흡기를 병행해 사용한 것”이라고 반박했다.","X","소방헬기 이송"
"“환자안전 위한 고민, 올해도 멈추지 않겠습니다”","경향신문","2017.01","인제대학교 상계백병원이 제14회 QI경진대회 및 환자안전행사를 개최하고 올해도 의료서비스 개선에 지속적으로 힘쓸 것을 다짐했다.상계백병원, 제 14회 QI경진대회 및 환자안전행사 개최인제대학교 상계백병원은 지난 4일 제14회 QI경진대회 및 환자안전행사를 개최했다. 이번 경연에서는 지난 한 해 동안 의료 질 향상 및 진료업무 개선을 위해 활동한 내용이 발표됐다.이번 대회에서는 예방화(火)리 팀에서 발표한 ‘병동 화재예방 및 안전관리 활동’이 대상을 차지했고 화재탈출넘버원 팀의 ‘중환자실 화재예방 및 안전관리 활동’이 최우수상을 수상했다.또 환자안전 개선활동 포스터 발표 부문에서는 재활치료실의 ‘전기자극치료 환자의 화상 예방활동’이 최우수상을, 우수상은 약제부의 ‘유사이름 의약품 투약오류 예방활동’과 영상의학과의 ‘Skull 일반촬영 시 안전사고 예방활동’이 차지했다.상계백병원은 의료 질 향상과 환자안전을 위해 매년 QI경진대회를 개최하고 있으며 해마다 다양한 주제를 발표해 병원 내 서비스의 지속적인 개선활동에 힘쓰고 있다.","○","환자안전행사"
"간호사 66% “병원 안전사고 쉬쉬…이미지 하락 우려”","경향신문","2014.1199999999999","간호사 약 3명 가운데 2명은 병원 안에서 발생한 안전사고가 외부에 공개되지 않는다고 생각하는 것으로 나타났다고 연합뉴스가 보도했다.보도를 보면, 충북대 의대 PSM연구팀은 새누리당 안홍준 의원실의 의뢰를 받아 지난달 11∼20일 병원장 31명과 간호사 373명을 대상으로 환자 안전에 대한 온라인 설문조사를 실시한 결과를 31일 공개했다.이에 따르면 “병원 내 안전사고 사례는 외부에 공개되지 않는다”는 데 대해 간호사 응답자의 25%가 ‘매우 그렇다’, 41%가 ‘그렇다’고 답했다. 26%는 ‘보통’이라고 답했으며 ‘그렇지 않다’는 응답은 8%에 그쳤다.병원 사고가 공개되지 않는 이유에 대한 질문(중복 허용)에는 ‘병원 이미지 하락’이라는 응답이 91%로 가장 많았고, ‘개인의료정보 노출 우려’(43%), ‘피해자가 공개를 원치 않아서’(9%) 등이었다.병원 내에서 가장 빈번하게 발생하는 안전사고 유형(중복 허용)은 ‘낙상’ 77%, ‘감염’ 61%, ‘의료과실’ 33% 순이었다. 이밖에 ‘통제불능 환자 제압시 안전사고’(20%), ‘폭력’(15%), ‘방사선 노출’(12%), ‘유해화학물질 노출’(12%) 등의 응답도 있었다.안전사고의 요인 가운데에는 ‘제도적 요인’, ‘인간적 과실 요인’, ‘기술적 요인’ 순으로 많은 영향을 주는 것으로 응답자들은 판단하고 있었다.","○","병원안전사고"
"이대목동병원, 유방암 적정성 평가 2년 연속 최고등급","경향신문","2014.1199999999999","이대목동병원이 '유방암 진료의 적정성 평가'에서 2년 연속 최고 등급을 획득했다.건강보험심사평가원은 10일 만 18세 이상 여성에게 유방암 수술을 실시한 의료기관을 대상으로 2차 유방암 적정성 평가(2013년 진료분) 결과를 공개했다. 앞서 심평원은 지난해 유방암과 관련해 처음으로 적정성 평가를 실시하고 그 결과를 발표한 바 있다.이번 2차 평가는 구조부문을 비롯한 진료 과정과 결과를 평가하는 총 20개 지표(구조 1개, 진료과정 17개, 결과 2개) 중 과정 1개와 결과 2개 지표를 제외한 총 17개를 종합화해 그 결과를 산출했다. 이대목동병원은 17개 지표 가운데 16개 지표에서 100점을 획득하는 등 높은 지표 충족률을 나타냈다.문병인 이대목동병원 유방암<U+2024>갑상선암센터장은 ""지난해에 이어 올해 적정성 평가에서도 유방암 분야 1등급을 획득한 것은 이화의료원이 여성암을 특화 육성하면서 여성암 환자 중심의 차별화된 진료 시설과 진료 시스템을 구축하고 지속적인 경영 혁신 활동을 펼친 결과“라며 ""국내 여성암 치료 대표 병원으로서 환자 안전 및 의료 질에서 앞서가는 병원이 될 수 있도록 노력해 나가겠다""고 말했다.","X","적정성    평가"
"국립중앙의료원, 지역거점공공병원 QI경진대회 개최","경향신문","2014.1199999999999","보건복지부와 국립중앙의료원은 지난4일 국립중앙의료원 대강당에서 '2014년 지역거점공공병원 QI 경진대회'를 개최했다.이날 QI 경진대회에서는 서울의료원이 최우수상을, 전라북도 마음사랑병원이 우수상을 차지했다. 장려상에는 서산의료원, 대구의료원, 경기도의료원 포천병원이 차지했다.입선은 경기도의료원 파주병원, 경기도의료원 안성병원, 홍성의료원, 인천적십자병원, 경상남도립 양산노인전문병원이 선정됐다. QI 활동혁신상에는 경기도의료원 이천병원과 통영적십자병원이 수상했다.이번 QI 활동 과제는 의료의 질 향상, 서비스 및 고객만족, 업무 및 제도 개선의 주제로 총 37개의 병원이 142개의 활동 과제로 참가 신청을 했다. 2차에 걸친 활동보고서 심사를 통해 경기도의료원 파주병원 등 10개 병원의 활동 과제가 본선에 올라 구연발표를 진행했다.국립중앙의료원 관계자는 ""QI 경진대회는 지방의료원, 적십자병원 등 지역거점공공병원의 의료 질 향상 활동을 확산하고 의료서비스의 질적 향상을 도모하며 환자안전과 고객만족 업무효율성을 향상하고자 마련됐다""고 밝혔다.","X","QI          경진대회"
"강남베드로병원, 보건복지부 인증 의료기관 선정","경향신문","2014.1199999999999","강남베드로병원은 보건복지부로부터 환자의 안전을 위한 노력과 의료서비스를 통해 의료기관 인증을 획득했다고 밝혔다. 따라서 오는 2018년 12월 3일까지 의료기관 인증마크를 사용할 수 있게 됐다.보건복지부 의료기관 평가인증원이 추진한 의료기관 인증 평가제도는 의료기관이 환자 안전과 의료 서비스의 질적 향상을 위해 국제 수준의 엄격한 기준을 마련, 평가를 통해 인증을 부여하는 제도다.의료기관 인증은 환자 진료 체계, 행정 관리 체계, 기본 가치 체계, 성과 관리 체계의 4개 영역 내에서 환자안전, 의료서비스의 질 향상 등 84개 기준, 401개 항목을 평가해 80% 이상을 충족하고 환자 안전과 직원 안전 부문에서 100% 충족해야만 인증을 통과할 수 있다.강남베드로병원 윤강준 대표원장은 “이번 의료기관 인증은 개원 이래 환자 안전과 의료서비스 질 향상을 위한 노력을 지속적으로 추진해 온 결과”라며 “강남베드로병원은 보건복지부가 인정한 안전한 병원, 의료서비스 질 향상이 확보된 의료기관으로서의 사명을 다하기 위해 향후 환자 안전과 지속적인 의료서비스 질 향상을 위한 활동과 투자를 지속적으로 추진하겠다”고 밝혔다.","X","의료기관 인증을 획득"
"이대여성암병원, ‘여성 소비자가 뽑은 좋은 기업 대상’","경향신문","2014.1099999999999","이대여성암병원이 여성소비자가 뽑은 좋은 기업에 선정됐다.이대여성암병원이 오늘(5일) 오전 서울 세빛섬 컨벤션홀에서 개최된 '제17회 여성 소비자가 뽑은 좋은 기업 대상' 암병원 부문 대상을 수상했다.여성신문사가 주최하고 여성가족부 등이 후원하는 '여성 소비자가 뽑은 좋은 기업 대상'은 전국에 거주하는 성인 여성 소비자를 대상으로 온라인 조사와 함께 선정위원회 최종 심의를 거쳐 수상 기업을 선정한다.이대여성암병원은 대학병원 최초로 암 진단 후 1주일 이내 시술, 병원 방문 당일 한 공간에서 진료, 검사를 시행하는 원스톱 서비스와 여성만을 위한 여성건강증진센터, 레이디병동 등 여성 친화적인 진료 환경 구축으로 암 치료의 새로운 패러다임을 제시했다는 평가를 받았다.또 이대여성암병원은 2011년 JCI 인증 및 2014년 JCI 재인증을 통해 환자 안전, 의료서비스 질이 국제 표준임을 인정받았으며 ‘외국인 환자 우선 진료 시스템’ 구축 및 중국어, 러시아 등 해외 국가별 외국어가 가능한 코디네이터를 통한 외국인 환자별 맞춤 서비스 제공으로 세계적인 여성암 치료 병원으로 발돋움하고 있다.백남선 병원장은 ""이대여성암병원은 여성암 전문 치료 병원으로서 여성암 환자의 니즈(Needs)에 맞춘 차별화된 진료 시스템과 시설을 구축하고 유방보존술, 유방동시재건술 등 여성암 환자별 맞춤 진료로 여성암 환자의 삶의 질 향상에 앞장서 왔다""며 ""이번 수상을 계기로 여성암 치료 국내 대표 병원으로서 여성의 건강과 가정의 행복한 삶을 지키고 나아가 사회를 건강하게 하는 데 일조할 수 있도록 최선의 노력을 기울이겠다""고 밝혔다.","X","의료기관 광고"
"[긴급진단]‘요지경’ 요양병원, 불·탈법 판친다","경향신문","2014.0999999999999","‘장성참사’로 합동단속 143곳 적발현행법 허점 이용 갈수록 교묘화최근 인천의 한 요양병원에서 노숙인을 꾀어내 가짜환자로 입원시켜 허위로 요양급여청구를 타낸 일이 있었다. 이 병원 원장은 술·담배 등을 주겠다고 노숙인 300여명을 꾀어 환자로 만든 뒤 국민건강보험공단에 15억원의 요양급여를 부당청구했다.복지사각지대에 놓인 노인들을 이용해 돈벌이수단으로 악용한 이 원장은 법의 처벌을 받게 됐지만 열악한 안전시설과 요양급여 부정수급 등 허술한 관리체계가 빚어낸 참사인 것으로 확인돼 관련 대책의 재정비가 시급한 상황이다.정부는 지난 5월28일 노인 21명의 생명을 앗아간 전남 장성의 효사랑요양병원 화재사건을 계기로 전국 요양병원에 대한 합동단속을 실시했다. 단속결과 총 143개의 요양병원이 적발돼 394명 검거, 11명 구속, 902억원의 부당청구액이 확인되는 등 요양병원 불법행태가 드러났다.특히 이번 단속결과 전국 요양병원 1265곳 중 절반에 해당하는 619곳이 피난통로 미확보, 소화전 불량, 옥상 불법증축, 당직 의료인규정 미준수 등 안전시설이나 의료인력기준을 제대로 갖추지 못했다. 장성참사처럼 총체적 인재발생가능성이 여전히 존재하는 셈이다.요양병원의 불법·탈법은 장성요양병원 화재사건으로 부각됐지만 어제오늘의 일이 아니다. 의사면허를 빌린 후 브로커를 통해 환자를 유치, 허위진료하는 병원도 많다. 요양병원의 대표적인 불법행위는 돈벌이 목적의 속칭 ‘사무장병원’이다. 의사면허를 대여 받아 의료기관을 개설한 뒤 브로커를 통해 환자를 유치하고 수십억원 상당의 요양급여를 받아 챙기는 것이다. 노숙인을 가짜환자로 속여 요양급여를 타내거나 찾는 가족들이 없다는 점을 노려 퇴원을 요구하는 환자를 감금·방치해 사망에 이르는 일도 있었다. 의사·간호사 등 의료인력을 부풀려 요양병원평가등급을 높게 받는 방법으로 보험료를 받아가는 것도 주요불법행태 중 하나다.문제는 불법행태수법이 현행법의 허점을 이용해 갈수록 교묘해진다는 것이다. 빠른 속도로 진행되는 인구고령화로 노인복지혜택이 확대되고 요양병원 수요가 늘자 법을 악용하는 사람들도 법을 분석하고 파악해 허점을 노리고 있다.이에 보건복지부는 합동단속 이후 요양병원규제 강화에 나섰다. 우리나라의 고령화속도를 감안했을 때 요양병원은 앞으로 더욱 중요한 역할을 할 것으로 파악, 지금부터라도 제도를 재정비하고 부실병원 퇴출과 우수병원 육성이 절실하다고 판단했기 때문이다.복지부 관계자는 “사무장병원은 내부고발이 아닌 이상 파악이 쉽지 않다”며 “요양병원과 관련된 불법행위나 비리를 알고 있다면 적극적으로 신고해 달라”고 말했다. 이어 “요양병원 설립과 안전시설기준을 강화해 우수병원은 육성하고 기준미달병원은 퇴출하는 시스템을 만들어 나가는 중”이라며 “향후에도 경찰, 국민건강보험공단과의 공조체계를 바탕으로 요양병원의 불법과 비리를 단속해나가겠다”고 덧붙였다.이와 관련, 대한노인요양병원협회 윤해영 회장은 “요양병원의 시설과 인력에 대한 안전기준 강화도 중요하지만 투자와 지원도 함께 이뤄져야 한다”며 “환자안전과 건강권을 위해서라도 규제일변도의 정책만 강요할 것이 아니라 보다 현실적인 대안을 마련해야한다”고 강조했다.","X","요양급여청구"
