"매일일보","X__1","X__2","X__3","X__4","X__5"
"title","com","date","text",NA,NA
"보건복지부, 세종병원 응급의료기관 평가에서 '최우수'로 선정","매일일보","2018.02","조인숙교수.[매일일보김양훈기자]국내의료기관의정보화가급물살을타고있다.매년7백만편이상의의학지식이메드라인에추가되고투약관련약물적응증및부작용에대한정보가3천페이지이상늘어나는등의료지식은인간의기억능력을넘어선지오래다.이런흐름속에서환자안전을도모하기위해수많은환자정보를축적해진료에스마트하게이용하는‘임상의사결정지원’분야의역할이중요해지고있다.이와관련,조인숙인하대간호학과교수는세계의료정보학회(InternationalMedicalInformaticsAssociation)에서인정한‘임상의사결정지원’분야의대표적전문가이다.2015년발표한논문인‘AcceptabilityandfeasibilityoftheLeapfrogcomputerizedphysicianorderentryevaluationtoolforhospitalsoutsidetheUnitedStates(전산화된처방입력시스템에대한환자안전성Leapfrog평가도구의의료기관수용성과적용가능성연구)’는세계의료정보학회2016년임상의사결정지원분야최우수연구논문으로선정됐다.또한,조교수는“매년의료실수로사망하는수가교통사고,AIDS로인한사망자를훨씬뛰어넘고있다.이들중상당수가충분히예방가능한사고다.안타까운사고를미연에방지하기위해의료정보기술을이용한환자안전향상에관심을가지게되었다고밝혔다.현재조인숙교수가연구하고있는임상의사결정지원분야는의료진의진료/간호행위를지원하기위해환자의빅데이터를활용하는방법으로,미래바이오분야를선도할핵심기술로손꼽히고있다.조교수는핵심의료정보기술집약인임상의사결정지원분야내에서도지식표현,사용성,안전성,시스템평가에매진해왔다.처방입력시스템은그중한사례이다.병원에근무하며약물처방과투약이환자안전에지대한영향을끼칠수있고,정보기술이안전망으로서큰역할을할수있음을직접눈으로보고느꼈기때문이다.특히,국내에서도미국과같이의료정보시스템의안전성과기능성을평가하는인증체계가필요함을감지했다.비영리병원평가기관LeapfrogGroup도구를활용,국내4개의료기관(인하대병원,서울대병원,분당서울대병원,서울아산병원)과협력해국내시스템의안전성과기능성을검증했다.그결과국내의료기관에선진시스템정보를제공하고,국내시스템이가진장단점을피드백해차세대의료정보시스템개발에활용할수있도록도왔다.이러한임상의사결정지원분야업적을인정받아오는6월중국Xiamen에서열리는‘2017년세계의료정보학회국제학술대회(Medinfo2017)’에서해당논문을발표할예정이다.조교수는“환자진료는의료인과진료지원분야간의정보전달과소통이매우중요한정보집약적업무입니다.환자안전을위해정보시스템의기능과콘텐츠에대한지속적인연구로의료실무에새로운통찰과가치를이끌어내고싶다”고소감을밝혔다.세계의료정보학회는1979년보건의료분야에서정보기술활용을다루는전문가들이설립해,현재까지전세계90개국가가회원으로참여하고있다.매2~3년주기로해당분야전문가들이참여하는국제학술대회를열어의료정보표준,정보교류,임상정보활용,임상의사결정지원등의료분야업무와서비스개선을목적으로정보기술이론과기술활용을공유하고있다.김양훈 기자dpffhgla111@hanmail.net김양훈 기자의 다른기사 보기","X",NA
"가천대 길병원 기본과 원칙에 충실…월례회 및 결의대회","매일일보","2015.0699999999999","▲ 가천대 길병원은 지난 22일 이근 병원장을 포함해 전 직원이 참석한 가운데 7월 월례회 및 결의대회에서 결의문을 낭도하고 있다.<사진 가천대 길병원 제공>[매일일보 이춘만 기자]가천대 길병원은 지난 22일 이근 병원장을 포함해 전 직원이 참석한 가운데 7월 월례회 및 결의대회를 가졌다고 23일 밝혔다.이번 월례회는 상반기 주요 병원 활동을 마무리하며, 하반기 운영에도 만전을 기하자는 의미의 결의대회와 함께 열렸다.가천대 길병원은 올해 4월 2주기 의료기관 인증평가를 받았으며, 인증에 통과하며 성공적으로 평가를 마무리 했다.이후 지난 6월부터는 국가적 재난 극복을 위한 메르스대책본부를 구성해 운영하는 등 숨가뿐 상반기를 보냈다.이날 월례회에서는 맡은 바 역할에 최선을 다해 환자 안전과 질 향상에 애쓴 부서 및 직원에 대한 표창이 있었다.가천대 길병원은 또 상반기 경험을 토대로 하반기 병원 운영에도 만전을 기하자는 의미로 결의대회를 개최했다.진료부, 간호부, 진료지원, 행정지원 등 각 부분의 직원 대표를 중심으로 더 높은 성과 창출, 기본과 원칙에 충실한 병원 운영, 박애<U+2024>봉사<U+2024>애국의 설립 이념 실천 등을 실현하자는 내용의 결의문을 낭독했다.이를 실천하기 위한 한 방법으로 ‘인사 잘 하기 캠페인’을 시작했다.이근 병원장은 “의료기관 인증평가, 메르스 극복 등 상반기에 넘어야 할 산이 많았지만 직원들이 슬기롭게 극복해주었다”며 “의료정책의 변화 등으로 의료 환경은 더욱 나빠지겠지만 앞으로도 흐트러지지 말고 어려움을 헤쳐나가자”고 격려했다.이춘만 기자lcm9504@hanmail.net이춘만 기자의 다른기사 보기","X",NA
"인하대병원, 메리스 환자 완치 퇴원","매일일보","2015.0599999999999","▲ 가천대 길병원은 지난 22일 이근 병원장을 포함해 전 직원이 참석한 가운데 7월 월례회 및 결의대회에서 결의문을 낭도하고 있다.<사진 가천대 길병원 제공>[매일일보 이춘만 기자]가천대 길병원은 지난 22일 이근 병원장을 포함해 전 직원이 참석한 가운데 7월 월례회 및 결의대회를 가졌다고 23일 밝혔다.이번 월례회는 상반기 주요 병원 활동을 마무리하며, 하반기 운영에도 만전을 기하자는 의미의 결의대회와 함께 열렸다.가천대 길병원은 올해 4월 2주기 의료기관 인증평가를 받았으며, 인증에 통과하며 성공적으로 평가를 마무리 했다.이후 지난 6월부터는 국가적 재난 극복을 위한 메르스대책본부를 구성해 운영하는 등 숨가뿐 상반기를 보냈다.이날 월례회에서는 맡은 바 역할에 최선을 다해 환자 안전과 질 향상에 애쓴 부서 및 직원에 대한 표창이 있었다.가천대 길병원은 또 상반기 경험을 토대로 하반기 병원 운영에도 만전을 기하자는 의미로 결의대회를 개최했다.진료부, 간호부, 진료지원, 행정지원 등 각 부분의 직원 대표를 중심으로 더 높은 성과 창출, 기본과 원칙에 충실한 병원 운영, 박애<U+2024>봉사<U+2024>애국의 설립 이념 실천 등을 실현하자는 내용의 결의문을 낭독했다.이를 실천하기 위한 한 방법으로 ‘인사 잘 하기 캠페인’을 시작했다.이근 병원장은 “의료기관 인증평가, 메르스 극복 등 상반기에 넘어야 할 산이 많았지만 직원들이 슬기롭게 극복해주었다”며 “의료정책의 변화 등으로 의료 환경은 더욱 나빠지겠지만 앞으로도 흐트러지지 말고 어려움을 헤쳐나가자”고 격려했다.이춘만 기자lcm9504@hanmail.net이춘만 기자의 다른기사 보기","X",NA
"구미차병원, 경북 최초 2회 연속 '인증 획득' 도전","매일일보","2015.05","[매일일보 이춘만 기자]중동호흡기증후군(메르스) 확산 공포 속에서 지역의 대표 의료기관 역할을 톡톡히 한 인하대병원이 인천에서 치료 중이던 유일한 메르스 환자를 완치 퇴원시켰다.26일 인하대병원에 따르면 경기도 평택에서 메르스 확진 판정을 받은 뒤 지난 2일 새벽 이 병원으로 옮겨져 입원 치료를 받은 50대 여성이 완쾌돼 이날 오전 퇴원했다.이 여성은 이미 수차례 검사에서 메르스 음성 판정을 받았지만 기침 등 기존의 호흡기질환 증세가 호전되기를 기다려 왔다.인하대병원에는 그동안 메르스 의심 증상을 보인 다른 7명의 환자도 격리됐지만 검사에서 모두 음성 판정을 받고 퇴원, 이 병원에는 이날 현재 메르스 관련 환자는 없다.인천은 경기도 김포·부천·시흥 등 인접 도시에서 잇따라 메르스 확진자가 발생하는 와중에도 한 달 넘게 '메르스 청정 지역'을 유지하고 있다.인하대병원은 경기도의 메르스 환자를 인계해 치료 중인 사실이 알려진 지난 2일 낮부터 환자 수가 30%가량 급감하는 어려움을 겪고 있다.이런 상황에서도 김영모 인하대병원장은 내부 게시판에 ""우리는 국가적 의료 위기 상황에서 지역을 대표하는 중심병원으로서의 역할을 피하지 않을 것이다. 의료인으로서의 책임을 회피하게 않겠다""는 다짐의 글을 올려 주위에 잔잔한 감동을 줬다.인하대병원은 메르스 사태 속에서 확진자 치료 이외에도 선별진료실과 격리진료실을 운영하며 매일 65∼70명의 인력을 투입했다.특히 감염관리실과 격리실의 의료진은 야간이나 휴일 개념도 없는 열악한 근무여건에서 묵묵히 자신의 역할을 하며 메르스에 맞섰다.인하대병원이 메르스 대처에 성공을 거둔 요인으로는 의료진의 이런 헌신 이외에도 감염 관리 등에 관한 국제인증을 받았다는 점이 꼽힌다.인하대병원은 국제의료기관평가위원회(JCI·Joint Commission International)의 인증을 받은 국내 11개 의료기관 중 하나다.인하대병원은 이들 의료기관 중에서도 국내 처음 의료원 전 부문 2회 연속 JCI 인증을 받아 주목받았다.JCI는 원래 1994년 미국에서 자국 내 병원을 평가, 인증할 목적으로 설립된 비정부 비영리 기관이지만 지금은 전 세계 의료기관을 대상으로 3년마다 환자 안전과 의료서비스의 질적 수준 등 수십 가지 평가항목에 대한 철저한 심사를 거쳐 인증서를 주고 있다.또 인하대병원은 2013년 7월부터 시범 실시 중인 포괄간호서비스가 메르스 확산을 차단하는 데 도움이 됐다는 의료계 분석이 나왔다.포괄간호서비스는 간병인이나 가족 대신 간호사가 중심이 돼 24시간 간호서비스를 제공하는 개념이다.지인과 가족 중심의 국내 간병문화는 메르스 감염이 급속히 확산된 주요 원인 가운데 하나로 지적됐다. 포괄간호서비스를 감염에 취약한 한국 병실 환경의 대안으로 제시하고 있다.인하대병원 관계자는 ""메르스 사태가 완전히 종식될 때까지 긴장의 끈을 놓지 않고 인천시민의 건강을 지키는 데 최선을 다하겠다""고 말했다.이춘만 기자lcm9504@hanmail.net이춘만 기자의 다른기사 보기","X","메르스"
"국가 망신의 교훈…한국 의료계는 '화약고'였다","매일일보","2015.0699999999999","▲ 이승호 구미차병원장(왼쪽부터 3번째)은 경북 최초로 2회 연속 인증 획득을 위한 발대식을 갖고 관계자와 파이팅을 하고 있다.[매일일보 이정수 기자] 차의과학대학교 부속 구미차병원(병원장 이승호)은 지난 12일 7층 강당에서 교직원 200여명이 참석한 가운데 2주기 의료기관 인증 획득을 위한 발대식을 갖고 성공적인 인증 평가를 위한 결의를 다짐했다.이번 발대식에서는 인증제에 대한 전반적인 설명과 원활한 인증평가를 위한 인증평가단 소개와 ‘함께하는 2주기 인증! 재도약하는 구미차병원!’ 구호를 참석자 모두가 선언했다.의료기관 인증평가는 병원의 환자 안전과 의료서비스 질 향상을 위한 자발적이고 지속적인 유지와 관리를 목적으로 의료기관인증평가원이 주관하여 4년 주기로 실시하고 있으며, 구미차병원은 2011년 12월에 경북 최초로 인증을 획득했다.보건복지부의 2주기 의료기관 인증평가 기준은 환자 안전, 의료질관리, 약물관리, 감염관리, 인적자원관리 등 병원 전 부문에 걸쳐 모두 537개 항목에 대한 서류심사, 면담, 점검 등 세밀한 기준을 충족해야 된다.구미차병원 이승호 병원장은 ""전 교직원이 일심동체가 되어 의료기관 인증평가를 준비한다면 지난 1주기와 마찬가지로 우수한 성적으로 인증을 획득할 수 있을 것이다""라고 말했다.이정수 기자jsl9393@hanmail.net이정수 기자의 다른기사 보기","X",NA
"서울여성병원과 연수구 '민간어린이집연합회 진료협약' 체결","매일일보","2017.1199999999999","▲ 이승호 구미차병원장(왼쪽부터 3번째)은 경북 최초로 2회 연속 인증 획득을 위한 발대식을 갖고 관계자와 파이팅을 하고 있다.[매일일보 이정수 기자] 차의과학대학교 부속 구미차병원(병원장 이승호)은 지난 12일 7층 강당에서 교직원 200여명이 참석한 가운데 2주기 의료기관 인증 획득을 위한 발대식을 갖고 성공적인 인증 평가를 위한 결의를 다짐했다.이번 발대식에서는 인증제에 대한 전반적인 설명과 원활한 인증평가를 위한 인증평가단 소개와 ‘함께하는 2주기 인증! 재도약하는 구미차병원!’ 구호를 참석자 모두가 선언했다.의료기관 인증평가는 병원의 환자 안전과 의료서비스 질 향상을 위한 자발적이고 지속적인 유지와 관리를 목적으로 의료기관인증평가원이 주관하여 4년 주기로 실시하고 있으며, 구미차병원은 2011년 12월에 경북 최초로 인증을 획득했다.보건복지부의 2주기 의료기관 인증평가 기준은 환자 안전, 의료질관리, 약물관리, 감염관리, 인적자원관리 등 병원 전 부문에 걸쳐 모두 537개 항목에 대한 서류심사, 면담, 점검 등 세밀한 기준을 충족해야 된다.구미차병원 이승호 병원장은 ""전 교직원이 일심동체가 되어 의료기관 인증평가를 준비한다면 지난 1주기와 마찬가지로 우수한 성적으로 인증을 획득할 수 있을 것이다""라고 말했다.이정수 기자jsl9393@hanmail.net이정수 기자의 다른기사 보기","X",NA
"분당서울대병원, 국내 최초 '입원재활 프로그램 CARF' 국제인증 획득","매일일보","2017.0999999999999","[매일일보] 사우디아라비아에서 발원한 일종의 지역 풍토병인 중동호흡기증후군(MERS) 환자 숫자가 세계 2위를 기록한 이번 사태는 한국의 의료체계가 불씨 하나로 폭발할 정도로 ‘인화물질’이 넘쳐나는 화약고였다는 사실을 일반국민들도 알게 해줬다.‘가까운 접촉’에서 ‘비말’을 통해서만 전염되는 메르스에 비해 ‘대기 감염’이 가능해 훨씬 전염성이 강했던 중증급성호흡기증후군(SARS)이 중국을 비롯한 동아시아에 창궐하던 2003년에 세계에서 가장 잘 대처한 국가로 극찬을 받았던 대한민국의 자부심은 산산이 부서졌다.12년 전에 비해 의료시스템이 딱히 후퇴한 것으로 볼만한 징후가 있는 것도 아니고 그때에 비해 보건당국의 통제를 국민들이 안 따르게 된 것도 아니다. 동일한 위험 요인이 그때에 비해 더 악화됐고 적극적으로 통제되지 않았을 뿐이다.▲ 마지막 중동호흡기증후군(메르스) 집중관리병원이었던 서울 일원동 삼성의료원에서 12일 관계자들이 방호복을 입고 외부로 나오고 있다. 연합뉴스“의료체계 자체가 숙주였다”지난 7일 대한병원협회는 정의화 국회의장, 신상진 국회메르스대책특위 위원장, 대한의사협회와 함께 국회의원회관 대회의실에서 ‘메르스 사태! 어떻게 수습하고, 무엇을 할 것인가?’라는 주제로 토론회를 개최했다.이 토론회에서 김윤 서울대 의대 의료관리학교실 교수는 “낙타가 없는 대한민국에서 메르스 바이러스에게 최고의 숙주는 대한민국 보건의료체계였다”며 “이번 기회에 감염에 취약한 의료체계를 개선해야 한다”고 말했다.김 교수는 “100병상당 감염관리간호사의 수는 한국이 0.25명으로, 미국의 0.7명에 한참 못 미치는 만큼 이를 0.8~1명 수준으로 올려야 한다”며 “감염위험 환자가 입원하면 1~2인실에 대해서도 건강보험 급여를 적용하고 중환자실이나 응급실의 전체 병상 50%는 격리실로 운영하도록 해야 한다”고 주장했다. 이어서 “보호자가 병간호를 하면 병원 내 감염률이 크게 높아진다”며 “정부가 포괄간호서비스의 적용 대상을 상급종합병원으로 신속하게 확대해야 한다”고 말했다. 포괄간호서비스는 간병인이 아닌 간호사·간호조무사 등이 전문적인 간호 서비스를 제공해 환자 가족의 간병 부담을 덜고 의료서비스의 질을 높이는 제도다. 정부는 포괄간호서비스를 2018년 전체 병원으로 확대하는 것을 목표로 삼고 있다.고려대 의대 안형식 교수팀에 따르면 2013년 7월~2014년 9월 환자 1천명당 병원 내 감염 건수는 보호자가 상주하는 병원이 6.9명으로 보호자가 상주하지 않는 병원의 2.1명보다 3배 이상 높았다. 김윤 교수는 “포괄간호서비스를 확대하려면 간호인력을 확충할 필요가 있으니 간호대를 증설하고 정원의 30%까지 증원을 허용해야 한다”며 “이를 통해 2018년까지 전체 병상의 40~50%에 포괄간호 서비스가 적용되도록 해야 한다”고 강조했다.고질적인 간호인력 부족…정부대책은 땜질에 재탕김 교수의 지적이 아니더라도 간호인력의 부족은 어제오늘의 문제가 아니다. 각급 병원들이 비용을 아끼기 위해 간호사 고용을 최소화하다보니 대형병원일수록 업무강도는 더 커지고 이는 다시 숙련된 간호 인력의 현장이탈로 이어지는 악순환이 반복되고 있다.그나마 3급 종합병원들의 경우는 인력을 수급하기가 수월한 편이지만 지역 중소병원들은 간호사가 부족해서 병원을 만들어놓고 문을 열지 못하는 사례가 있을 정도로 간호인력의 부족은 심각하고 고질적인 상황이었다.정부가 27일 발표한 청년 고용절벽 해소 종합대책에는 2017년까지 포괄간호서비스 조기 확대와 유휴인력 재취업 지원 등을 통해 3년간(2015년~2017년) 1만명의 간호인력을 확충하겠다는 계획이 포함돼 있다.그러나 포괄간호서비스 제도화에 필요한 간호인력은 현재 정부가 실시하고 있는 시범사업 인력기준으로 추산해도 4만8천명이 추가로 필요하고, 간호사 대 환자수를 선진국의 인력기준으로 상향할 경우 10만 3천명이 추가로 필요하다.이와 관련 전국보건의료산업노동조합(이하 보건노조)은 “포괄간호서비스 조기 확대를 통한 간호인력 확충은 단기간내 청년일자리를 확보하기 위한 대책으로 접근할 문제가 아니라 환자안전과 의료서비스 질 향상, 간병비 부담 해소를 위한 종합적인 일자리창출계획으로 추진돼야 한다”고 지적했다. 보건노조는 “유휴 간호인력 재취업 지원사업은 역대 정부가 가장 많이 시도했으나 모두 실패로 끝났다”며 “정부는 유휴 간호인력의 교육과 재취업 상담, 간호인력 데이터베이스 구축 등을 통해 재취업을 지원하겠다고 하지만, 낮은 임금과 열악한 근로조건 개선 없이는 유휴 간호인력 재취업 지원사업은 아무 성과없이 실패로 끝날 수밖에 없다”고 강조했다.32만3천명의 간호사 면허취득자 중 의료기관에서 활동 중인 간호사가 46% 수준인 14만7천명에 불과할 정도로 의료기관을 떠난 유휴 간호사가 많은 이유는 낮은 임금, 열악한 야간근무 및 교대근무, 높은 노동강도, 일-가정 양립이 어려운 모성보호 현실 때문이라는 지적이다.보건노조는 “이같은 간호사 이직의 근본요인을 해결하지 않고 교육·상담·소개만으로 유휴간호사를 간호현장으로 복귀시키는 것은 불가능하다”며 “실패로 끝난 유휴 간호인력 재취업사업을 되풀이할 것이 아니라 간호사들의 이직률을 낮추기 위해 임금, 교대근무제, 모성보호, 일가정 양립 등을 보장할 수 있는 획기적인 제도적 장치를 마련해야 한다”고 주장했다.▲ 20일 오전 부분폐쇄가 해제된 일원동 삼성서울병원 응급실 로비에서 병원 관계자 및 방문객들이 업무를 보고 있다. 연합뉴스한국, ‘의료감염’ 원래 많았다메르스 감염자의 대부분이 병원내 감염이었는데, 한국보건의료연구원(보의연)의 최근 발표에 따르면 의사나 간호사, 약사 등 병원 종사자 3명 중 2명은 ‘병원 내 감염’ 발생 가능성이 높다고 판단하고 있고 81%는 특히 일단 원내 감염이 발생하면 ‘심각한 상황’이라고 생각하고 있었다.메르스 사태 이전에 이뤄진 조사였다.이와 관련 이왕준 대한병원협회 정책이사(명지의료재단 이사장)는 “국내 의료감염 발생률은 5.29~10.19%로, 미국(5~6%)이나 독일(3.6%)보다 2배 이상 높다”며 “의료 감염 관리수준을 높이려면 건강보험 재정 투입이 반드시 필요하다”고 주장했다.한편 이왕준 정책이사는 이와 함께 “공중보건위기 관리를 총괄하는 컨트롤타워의 역량을 높이려면 질병관리본부를 복지부의 외청인 질병관리청으로 격상해 독립시키고 전염병 발생 때 즉각 초동대응을 할 수 있도록 지방에 6개의 권역센터를 설치해야 한다”고도 제안했다.이 이사는 “질병관리본부를 업그레이드하지 않고서는 더 강해질 전염병 관리에 능동적으로 대응하기란 불가능하다”며 “조직을 확장 개편한 미국 질병통제본부(CDC)의 성공적인 개혁 사례를 벤치마킹해야 한다”고 덧붙였다.김경탁 기자gimtak@gmail.com김경탁 기자의 다른기사 보기","○","간호인력"
"전남대 의료방사선안전연구센터 심포지엄 성료","매일일보","2017.0899999999999","인천시연수구민간어린이집연합회가진료협약체결모습[매일일보김양훈기자]아인의료재단서울여성병원(이사장오익환)은6일연수구민간어린이집연합회(회장한현숙)와진료협약을체결했다고밝혔다.이번협약은지난달30일맺었는데어린이집임직원(교직원)과원아들의건강증진을위해최상의진료서비스를제공하고,상호간긴밀한협의와공조를유지하기위해체결하게됐다.또한,협약서에따라인천시연수구민간어린이집연합회소속임직원(교직원)들은서울여성병원내원시소정의진료혜택을받을수있다.한편서울여성병원은앞으로도환자안전을최우선으로질높은의료서비스를제공하며여성과아기,지역주민의건강을위한나눔행사에적극적으로참여하겠다""라고밝혔다.김양훈 기자dpffhgla111@hanmail.net김양훈 기자의 다른기사 보기","X",NA
"서울여성병원, 2회 연속 의료기관 인증병원 지정","매일일보","2017.02","인천시연수구민간어린이집연합회가진료협약체결모습[매일일보김양훈기자]아인의료재단서울여성병원(이사장오익환)은6일연수구민간어린이집연합회(회장한현숙)와진료협약을체결했다고밝혔다.이번협약은지난달30일맺었는데어린이집임직원(교직원)과원아들의건강증진을위해최상의진료서비스를제공하고,상호간긴밀한협의와공조를유지하기위해체결하게됐다.또한,협약서에따라인천시연수구민간어린이집연합회소속임직원(교직원)들은서울여성병원내원시소정의진료혜택을받을수있다.한편서울여성병원은앞으로도환자안전을최우선으로질높은의료서비스를제공하며여성과아기,지역주민의건강을위한나눔행사에적극적으로참여하겠다""라고밝혔다.김양훈 기자dpffhgla111@hanmail.net김양훈 기자의 다른기사 보기","X",NA
