"문화일보","X__1","X__2","X__3","X__4","X__5"
"title","com","date","text",NA,NA
"< Consumer >가정 발생 ‘위해’사고… 도로보다 4.4배 많아","문화일보","2014.1199999999999","소비자 안전을 위협하는 각종 위해 요인이 갈수록 증가세인 것으로 나타났다. 특히 전통적으로 취약지역으로 꼽히는 식료품과 기호품에 의한 사고 외에도 상대적으로 안전할 것으로 인식되고 있는 가정에서 위해사고 비중이 높고, 어린이와 노인층의 피해가 늘고 있어 각별한 주의가 요망된다.11일 한국소비자원의 올해 3분기 소비자 위해 정보 동향을 보면, 소방서, 병원, 상담피해구제 신청, 소비자 제공 정보를 취합한 결과, 총 2만250건으로 지난해 같은 기간과 견줘 15.9% 늘어난 것으로 집계됐다. 소비자 위해 정보는 소비자기본법에 따라 위해정보제출기관으로 지정된 병원과 소방서, 소비자원 상담창구를 통해 수집된 것으로 제조 및 설계, 표시 및 유통 과정상의 결함이 드러날 경우 사업자에게 시정조치를 권고하게 된다. 품목별로 보면 구조물, 건축물 및 제조용 자재가 4000건(19.8%)으로 가장 많았다. 이어 식료품·기호품이 2723건(13.4%), 가구 및 가구 설비와 차량 및 승용차가 각 2659건(13.1%), 가정용 기기 및 용품과 가전제품이 1622건(8.0%), 스포츠 및 레크리에이션 장비와 용품 및 액세서리가 1375건(6.8%) 순으로 나타났다.위해 정보에 노출된 나이는 10세 미만이 5810명(33.3%)을 차지해 가장 많았는데 지난해 같은 기간보다 31.3% 늘었다. 10대도 1126명(6.4%)으로 25.7% 증가했다. 60세 이상은 1338명(7.7%)으로 20.0% 늘었다. 나이가 적거나 많은 이들이 위험 요인에 노출돼 있음을 보여준다. 위해 발생 장소의 경우 가정이 1만457건, 51.6%로 압도적이었다. 도로와 인도, 자전거도로 등 교통시설이 2340건(11.6%), 상업시설이 2157건(10.7%), 여가 및 문화놀이시설 1127건(5.6%), 교육시설 833건(4.1%), 스포츠·레저시설 429건(2.1%), 의료서비스시설 326건(1.6%) 등이 나머지를 차지했다.위해 내용별로는 충돌·충격(추락, 넘어짐, 미끄러짐, 교통사고 상해 등)이 1만421건(51.5%), 화학적 사고가 2433건(12.0%), 기계적 결함과 폭발 등 물리력에 의한 사고가 1999건(9.9%), 찔림 1405건(6.9%) 등이 많았다.이민종 기자 horizon@munhwa.com","X",NA
"“환자안전·온난화 방지 작은 업무부터 실천을”","문화일보","2014.1199999999999","“병원에서는 당장 할 수 있는 친환경적인 일이 굉장히 많습니다. 모두 환자의 안전을 돕고 지구온난화도 예방할 수 있는 일인 데다, 병원에 경제적 이익도 가져다줍니다.”신동천(사진) 한국친환경병원학회 회장은 30일 병원의 환경경영을 강조하며 이같이 말했다. 신 회장은 연세대 의대 예방의학과 교수로서 지난해 6월 보건의료 및 예방의학자, 환경학자, 병원협회, 환경부 등이 참여해 출범한 친환경병원학회의 초대 회장으로 활동하고 있다.신 회장은 “친환경 병원은 환자에게 쾌적한 환경과 양질의 서비스를 제공하고, 병원에는 에너지 절감 등으로 비용을 줄이는 효과를 준다”고 설명했다. 그는 병원 자체가 친환경경영과 관련성이 크다고 설명한다. 신 회장은 “에너지만 따져봐도 병원에서 햇빛이 들지 않는 병실 등을 잘 조율하면 연료절감이 가능하다”며 “세브란스병원에서는 환경경영 시작 전에 ‘그린캠페인’만 시행했는데 5%의 에너지를 줄이는 효과가 나타나기도 했다”고 말했다. 그는 병원의 환경경영이 에너지를 절약하고 폐수나 대기오염을 줄이는 것도 있지만, 일상생활에서 수행할 수 있는 작은 업무부터 시작해야 한다고 강조했다. 병원 경영자의 환경 마인드, 오염이 적은 물품 구매, 전기나 물 사용량이 적은 의료장비, 유해물질을 줄이는 연구 등 의료기관에서 수행할 수 있는 환경경영이 수없이 많다는 것이다.주요 선진국에서는 이미 병원 분야의 환경경영이 활발하다. 신 회장은 “미국에서는 1970년대에 병원 폐기물에서 다이옥신이 검출되면서부터 환경경영이 도입되기 시작했다”며 “현재 미국을 중심으로 전 세계 3000여 개의 병원이 네트워킹으로 환경경영을 운영 중”이라고 설명했다. 신 회장은“우리나라도 환경경영을 도입하는 병원들이 나오고 있는데, 앞으로 더 많은 병원이 참여했으면 좋겠다”고 말했다.","X",NA
"“병원, 의료사고 공유시스템 구축을”","문화일보","2014.1099999999999","“의료사고 발생 이후 과정도 중요하지만, 발생하지 않도록 사전에 예방하는 것이 더 중요합니다.”이민호 한국의료분쟁조정중재원 상임감정위원은 “의료사고의 상당수는 예방 가능한 것”이라며 이같이 말했다. 이 위원은 특히 의료인을 교육시키는 대학병원 등 상급종합병원의 적극적인 역할을 주문했다.그는 “국내 의료기관을 선도하는 대형병원들도 의료사고가 발생하면 인지도 하락 등을 우려해 사고를 숨기는 데 급급한 경향이 있다”며 “그러나 사고를 분석하고 유형별로 분류해 모든 의료기관, 의사들이 학습하고 공유할 수 있는 시스템을 마련함으로써 다른 의료기관에서 똑같은 사고가 발생하지 않도록 해야 한다”고 말했다. 그는 정부가 실시하는 의료기관 인증평가제도 등에 의료사고에 대한 신고, 공유 등에 대한 항목을 추가하는 방안을 제안했다. 각 기관의 의료사고가 공유되면 의료분쟁조정중재원 감정단 등과 같은 공공기관에서 사고를 유형별로 분석해 각 의료기관에 예방교육을 진행해야 한다는 것이다.김석화 환자안전연구회 회장(서울대 어린이병원 원장)은 자율성을 강조했다. 김 회장은 “의료기관에서 사고가 발생하면 자발적으로 보고해, 여러 병원이 그런 사례를 분석하고 공유하는 문화가 정착돼야 한다”며 “그러기 위해서는 정부 등에서 정책적, 제도적 지원이 필요하다”고 말했다. 현재 의료사고가 발생하면 처벌받거나, 병원 문을 닫을 정도로 피해가 심각해지는 상황에서 병원들이 쉽사리 의료사고 신고나 공유에 참여하기는 어렵다는 것이다. 사회주의적 의료서비스를 펼치는 영국은 의료사고를 의무적으로 보고하는 시스템을 갖추고 있지만, 미국은 자발적으로 보고하게 하되 처벌을 못 하도록 운영 중이다. 이용권 기자 freeuse@munhwa.com","○","의료사고 분쟁"
"1만여 간호사 모여 한목소리로 간호법 제정 촉구","문화일보","2014.1099999999999","“의료사고 발생 이후 과정도 중요하지만, 발생하지 않도록 사전에 예방하는 것이 더 중요합니다.”이민호 한국의료분쟁조정중재원 상임감정위원은 “의료사고의 상당수는 예방 가능한 것”이라며 이같이 말했다. 이 위원은 특히 의료인을 교육시키는 대학병원 등 상급종합병원의 적극적인 역할을 주문했다.그는 “국내 의료기관을 선도하는 대형병원들도 의료사고가 발생하면 인지도 하락 등을 우려해 사고를 숨기는 데 급급한 경향이 있다”며 “그러나 사고를 분석하고 유형별로 분류해 모든 의료기관, 의사들이 학습하고 공유할 수 있는 시스템을 마련함으로써 다른 의료기관에서 똑같은 사고가 발생하지 않도록 해야 한다”고 말했다. 그는 정부가 실시하는 의료기관 인증평가제도 등에 의료사고에 대한 신고, 공유 등에 대한 항목을 추가하는 방안을 제안했다. 각 기관의 의료사고가 공유되면 의료분쟁조정중재원 감정단 등과 같은 공공기관에서 사고를 유형별로 분석해 각 의료기관에 예방교육을 진행해야 한다는 것이다.김석화 환자안전연구회 회장(서울대 어린이병원 원장)은 자율성을 강조했다. 김 회장은 “의료기관에서 사고가 발생하면 자발적으로 보고해, 여러 병원이 그런 사례를 분석하고 공유하는 문화가 정착돼야 한다”며 “그러기 위해서는 정부 등에서 정책적, 제도적 지원이 필요하다”고 말했다. 현재 의료사고가 발생하면 처벌받거나, 병원 문을 닫을 정도로 피해가 심각해지는 상황에서 병원들이 쉽사리 의료사고 신고나 공유에 참여하기는 어렵다는 것이다. 사회주의적 의료서비스를 펼치는 영국은 의료사고를 의무적으로 보고하는 시스템을 갖추고 있지만, 미국은 자발적으로 보고하게 하되 처벌을 못 하도록 운영 중이다. 이용권 기자 freeuse@munhwa.com","○",NA
"‘안전 인증’ 병원이라더니… 평가 대충대충 했나","문화일보","2014.05","6일 간호정책선포식 열고 7대 중점과제 채택2015 서울세계간호사대회 조직위 출범식도“간호, 보건의료 패러다임의 변화를 주도하라.”대한간호협회(회장 김옥수)는 11월 6일 오후 1시 ‘2014 간호정책 선포식’을 열고 간호법 제정을 촉구했다. 또 환자안전과 적정의료비를 실현할 수 있는 선진국형 보건의료체계 확립을 위한 7대 중점과제를 제시했다.이와 함께 ‘2015 서울 세계간호사대회’가 32만 간호사의 관심과 응원을 이끌어냄으로써 한국 간호의 국제적 위상을 높일 수 있는 성공적인 대회로 개최될 수 있도록 조직위원회 출범식도 진행됐다.간호정책 선포식은 전국의 간호사와 간호대학생 1만 여 명이 참석한 가운데 11월 6일 오후 1시 올림픽공원 SK핸드볼경기장에서 성황리에 열렸다. 간호사업자문위원, 원로, 나이팅게일기장 수상자들이 함께 자리했다. 여야 국회의원 30여 명과 장옥주 보건복지부 차관 등 정관계 인사들이 대거 참석해 간호사들을 격려했다.이날 참석한 정관계 인사는 다음과 같다. ◇국회 △김무성 새누리당 대표최고위원 △문희상 새정치민주연합 비대위원장 △김춘진 보건복지위원회 위원장 △안홍준 국회의원 △서상기 국회의원 △나경원 국회의원 △양승조 국회의원 △이명수 국회의원 △김영우 국회의원 △유기홍 국회의원 △유은혜 국회의원 △정성호 국회의원 △김성주 국회의원 △김명연 국회의원 △김제식 국회의원 △서용교 국회의원 △박인숙 국회의원 △이채익 국회의원 △박대동 국회의원 △박혜자 국회의원 △김정록 국회의원 △문정림 국회의원 △박윤옥 국회의원 △신의진 국회의원 △신경림 국회의원 △남윤인순 국회의원 △도종환 국회의원◇정부 △보건복지부 장옥주 차관 ◇보건의료단체 △조찬휘 대한약사회장 △김필건 대한한의사협회장 △김원숙 대한치과위생사협회장 △김옥경 대한조산협회장 ◇공공기관 △손명세 건강보험심사평가원장 △류호영 보건복지인력개발원장◇유관단체 △김지영 한국재가노인복지협회장 △양봉석 환자복지센터 소장간호정책 선포식은 화려한 오프닝 행사로 막을 올렸다. 대한간호협회를 소개하는 동영상과 지난해 7월부터 전개되고 있는 간호법 제정을 위한 100만 서명운동 동영상이 상영됐다. 또 LED 댄스 퍼포먼스와 대북공연 퍼포먼스가 화려하게 펼쳐졌다.오상진 MBC 전 아나운서와 김성희 KBS 아나운서가 사회를 맡아 진행된 선포식은 내빈입장에 이어 양 수 대한간호협회 제1부회장이 개회를 선언하면서 대단원의 막이 올랐다.이날 김옥수 회장은 대회사를 통해 “한국 간호는 2011년 간호교육 학제 4년 일원화로 국제사회에서 표준이자 모범으로 우뚝 섰으나 아직도 세계 80여 개 국가에서 법제화되어 있는 간호법은 없는 실정”이라고 지적하고 “세계 보건의료 패러다임이 변화하고 있고 우리나라 역시 노인인구 및 노인의료비 증가속도가 건강보험재정을 위협하고 있는 만큼 간호법 제정은 선진국형 보건의료체계와 건강보험의 지속가능성을 위한 대안”이라고 강조했다.김 회장은 이어 “1951년 국민의료법 제정 이후 간호사 업무는 단 한 번도 개정되지 않았다”면서 “그동안 우리나라는 세계 최빈국에서 10대 경제대국으로 발전했고 의료부문 역시 의료기술의 발달과 전문의료인력의 발전 등 눈부신 성장을 했으며 건강에 대한 국민의 관심과 욕구도 크게 증가했으나 간호 관련 법과 제도는 63년 전과 같은 것이 우리의 현실”이라고 꼬집었다.김 회장은 또 “현 의료법은 의료기관 중심의 의료행위만을 규정하고 있으나 현대사회는 병원중심이 아닌 환자중심의 법과 제도를 요구하고 있다”며 “이미 OECD국가들은 질병예방과 만성질환 관리를 위해 지역사회로 직접 대상자를 찾아가는 보건의료서비스 체계를 확립하고 있다”고 말한 뒤 “우리나라도 급변하는 보건의료 수요에 적합한 선진국형 보건의료체계 개선이 절실하다”고 강조했다.김 회장은 특히 “간호법은 직역 간의 역할과 책을 법제화하며 질병예방과 만성질환 관리를 효율적으로 수행하기 위한 것이며 환자에게 안전하며 비용-효율적인 서비스 제공으로 적정의료비를 실현해 건강보험의 지속가능성을 보장하는 대안이 될 수 있다”고 말했다.이어 ‘간호, 보건의료 패러다임의 변화를 주도하라’는 비전 선포와 함께 7대 중점과제와 간호법 제정이 필요성을 담은 동영상이 상영됐다.이날 대한간호협회가 채택한 7대 중점과제는 △보호자가 필요 없는 포괄간호서비스 제도 성공적 정착 방안 △환자안전을 위한 간호관리료 차등제 개선 방안 △초고령사회, 간호서비스 개선을 위한 노인장기요양보험제도 개선 △‘고등교육법 일부 개정안’을 통한 의료인 양성 교육기관의 평가·인증제도 도입 △‘지역보건법’ 개정으로 보건소장과 보건의료원장의 임용에 대한 형평성 실현 △요양병원 당직의료인에 대한 유권해석 철회 및 간호인력 기준 강화 △치료가 아닌 예방을 중심으로, 금연에 대한 건강보험급여화 추진 등이다.이어 32만 간호사를 대표해 참석한 1만 여 명의 간호사들이 기립해 김옥수 대한간호협회장의 선창에 따라 ‘간호, 보건의료 패러다임의 변화를 주도하라’를 외치며 간호법 제정을 위한 결의를 다졌다.2015 서울 세계간호사대회(ICN Conference and CNR 2015 Seoul) 조직위원회 출범을 알리는 행사도 진행됐다. 출범식은 환영사, 출범 선언, 추진경과보고, 주디스 섀미언 국제간호협의회(ICN) 회장 등의 격려 메시지 순서로 진행됐다.출범식에서 신경림 조직위원장(국회의원)은 환영사를 통해 “국민 건강과 국가발전에 주역이 되겠다는 지난 100년 여년의 원칙과 소신을 바탕으로 한 강력한 조직력과 리더십, 그리고 정부의 전폭적인 지원에 힘입어 지난 2010년, 2015 서울 세계간호사대회를 유치하는 데 성공했다”면서 “이는 한국 간호 100년 역사의 저력과 간호사들의 뜨거운 성원, 정부의 전폭적인 지지가 어우러져 만들어 낸 성과”라고 말했다.이어 신 조직위원장은 “한국 간호사는 이제, 2015 서울 세계간호사대회 개최를 통하여 지금까지의 양적 성장이 아닌 질적 성장을 통하여 국민들의 삶의 질을 높이고, 미래 보건의료 환경변화를 주도해 나가고자 한다”고 강조하고 “‘2015 서울 세계간호사대회’가 간호뿐 아니라 한국 역사의 한 획을 긋는 매우가 의미 있는 행사가 될 수 있도록 많은 관심과 참여”를 주문했다.식후 행사로 열린 축하공연에서는 부가킹즈(바비킴+간디)와 아이언 등의 가수팀의 축하공연이 펼쳐져 분위기를 고조시켰다. 참석자들에게는 추첨을 통해 푸짐한 선물이 주어졌다.","X",NA
"“선진국 법·제도 국내 소개… 한국 간호史 새장 열것”","문화일보","2014.0599999999999","화재사고로 21명이 사망하는 등 대형 참사가 발생한 전남 장성군의 효실천사랑나눔병원은 최근까지 정부 기관으로부터 화재 등의 안전관리 기준을 충족한다는 인증을 받은 것으로 확인돼 논란이 예상된다. 또 최근 여객선 진도 침몰 참사 이후 진행된 지방자치단체의 안전점검에서도 모두 이상이 없는 것으로 보고되면서 정부와 지자체의 안전 평가가 허술하다는 비판을 면키 어려울 전망이다.28일 병원계에 따르면 효실천사랑나눔병원은 보건복지부의 위탁을 받은 의료기관평가인증원으로부터 ‘환자들이 안심하고 찾을 수 있는 요양병원’으로 지난해 말 인증을 받았다. 의료기관인증제도는 ‘의료기관의 환자 안전 수준과 의료서비스의 질’을 정부에서 인증하는 제도로 요양병원의 경우 환자의 권익 보호를 위해 지난 2013년부터 의무적으로 인증받도록 되어 있다. 인증원은 해당 요양병원의 안전, 진료, 행정 및 지원, 성과관리 등의 200개 항목을 조사해 기준을 충족시키면 인증을 부여하는데, 조사의 첫 번째 기준이 화재안전 관리활동이 포함된 안전보장활동이다. 인증원은 지난 4월 말 전국 1221개 요양병원 중에서 이번 화재사고가 발생한 효실천사랑나눔병원을 포함해 230개 요양병원에 인증을 부여하면서 ‘안전하고 믿을 수 있는 요양병원’이라고 밝힌 바 있지만 불과 1개월여 만에 화재 참사가 발생했다.이용권 기자 freeuse@munhwa.com","○","병원화재"
"‘주당 93시간 근무’ 전공의, 인턴 13%·레지던트 8% “의료과실 경험”","문화일보","2015.0699999999999","화재사고로 21명이 사망하는 등 대형 참사가 발생한 전남 장성군의 효실천사랑나눔병원은 최근까지 정부 기관으로부터 화재 등의 안전관리 기준을 충족한다는 인증을 받은 것으로 확인돼 논란이 예상된다. 또 최근 여객선 진도 침몰 참사 이후 진행된 지방자치단체의 안전점검에서도 모두 이상이 없는 것으로 보고되면서 정부와 지자체의 안전 평가가 허술하다는 비판을 면키 어려울 전망이다.28일 병원계에 따르면 효실천사랑나눔병원은 보건복지부의 위탁을 받은 의료기관평가인증원으로부터 ‘환자들이 안심하고 찾을 수 있는 요양병원’으로 지난해 말 인증을 받았다. 의료기관인증제도는 ‘의료기관의 환자 안전 수준과 의료서비스의 질’을 정부에서 인증하는 제도로 요양병원의 경우 환자의 권익 보호를 위해 지난 2013년부터 의무적으로 인증받도록 되어 있다. 인증원은 해당 요양병원의 안전, 진료, 행정 및 지원, 성과관리 등의 200개 항목을 조사해 기준을 충족시키면 인증을 부여하는데, 조사의 첫 번째 기준이 화재안전 관리활동이 포함된 안전보장활동이다. 인증원은 지난 4월 말 전국 1221개 요양병원 중에서 이번 화재사고가 발생한 효실천사랑나눔병원을 포함해 230개 요양병원에 인증을 부여하면서 ‘안전하고 믿을 수 있는 요양병원’이라고 밝힌 바 있지만 불과 1개월여 만에 화재 참사가 발생했다.이용권 기자 freeuse@munhwa.com","○","병원화재"
"“환자관리 후진성… 감염병 대비시스템 일대혁신을”","문화일보","2015.0599999999999","“내년에 열리는 국제간호 학술대회는 우리나라 간호수준을 한 단계 이상 도약시킬 수 있는 기회입니다. 성공적으로 개최해 대한민국 간호계 역사의 새로운 전환기로 삼겠습니다.”‘2015 서울 국제간호협의회(ICN) 대표자회의 및 학술대회’를 준비하는 신경림 대회조직위원장은 대회 개막(2015년 6월 19일)을 1년여 앞둔 17일 “최고의 대회로 치르겠다”며 이같이 말했다. 1899년 창립된 ICN은 전세계 간호사들을 대표하는 비정부기구로 보건의료분야에서 가장 오랜 역사와 규모를 가진 전문직단체다. 현재 135개국 간호협회가 가입해 있으며 총회와 학술대회를 2년마다 교대로 개최한다. 내년 6월 19일부터 23일까지 서울 코엑스에서 열리는 학술대회는 135개국 대표를 비롯해 간호사, 간호계 종사자, 정부 및 의료인 등 2만여 명이 참가하고 1만8000여 편의 학술논문이 발표된다.신 위원장은 “우리나라 간호계가 이번 행사를 성공적으로 개최하면 국내 간호시스템도 자연스럽게 글로벌 수준으로 올라설것”이라고 말했다. 그는 “1989년 서울에서 ICN 총회를 개최하면서 ‘간호원’으로 불리던 명칭이 ‘간호사’로 바뀌면서 간호계 발전의 계기가 됐다”며 “1989년 총회를 국내에서 개최한 것이 우리나라 간호계를 양적으로 발전시키는 계기가 됐다면 내년 서울에서 열리는 ICN 학술대회는 우리나라 간호계를 질적으로 발전시키는 계기가 될 것”이라고 말했다.그는 간호대학이 200여 개로 늘어나고, 3∼4년제에서 4년제로 일원화되는 등 우리 간호계가 양적으로 발전했지만 법·제도 마련이나 고용상태 등의 질적 수준은 제자리걸음이라고 분석했다. 그는 “간호사는 32만여 명이나 되지만 우리나라는 아직 간호법조차 없는 나라”라며 “이에 따라 국민들도 대부분이 간호사와 간호사 이외 인력의 역할에 대해 잘 모르고 있어 양질의 간호서비스를 받기 쉽지 않은 상황”이라고 말했다.신 위원장은 내년 학술대회를 통해 해외 간호 선진국들의 법·제도 등 선진시스템이 국내에 소개되면 정부는 물론 간호사들의 인식에 일대 전환이 일어날 것이라고 기대했다. 이를 통해 간호계도 스스로 발전하고, 정부도 선진시스템을 도입하는 계기가 될 수 있다는 것이다.그는 학술대회 개최에 따른 또 다른 효과도 기대하고 있다. 신 위원장은 “전세계 간호지도자가 서울을 찾아 한국 의료서비스 산업과 문화를 보게 되면서 궁극적으로 우리나라 의료관광산업을 한 단계 발전시키게 될 것”이라며 “또 우리나라가 가진 간호서비스의 장점을 세계에 알려 위상을 높이는 기회이기도 하다”고 말했다. 이에 따라 조직위원회는 한국을 방문하는 각국의 간호대표자들이 한국이 강점을 보이고 있는 정보기술(IT)병원, 암센터, 농어촌 등에서 활성화돼 있는 보건진료소, 간호협회가 운영 중인 요양원 등을 방문할 수 있도록 준비하고 있다. 신 위원장은 “내년 행사를 통해 우리나라의 의료시스템을 보고 벤치마킹해 가는 나라도 많을 것”이라며 “이를 통해 한국간호계의 국제적 위상은 물론 해외에 있는 한국 간호사들의 위상도 높아질 것”이라고 말했다.파독 간호사를 비롯해 미국, 중동 등 세계 각지에 흩어져 있는 한인간호사들도 이번 행사를 계기로 한국을 찾아 결속을 다진다. 이들은 한인간호사들 간의 네트워크 결성을 위한 재외한인간호사대회를 대회기간에 개최하고, 또 영어·불어·독어·스페인어 등 각국 언어에 대한 통역자원봉사를 하며 행사를 도울 예정이다. 또 조직위는 차세대 간호계 지도자들을 육성하기 위한 학생대회도 준비하는 등 이번 대회를 우리나라 간호업계 종사자들의 ‘화합의 장’으로 만들어나갈 계획이다.국민들에게 간호사에 대한 인식을 높이기 위한 작업도 구상 중이다. 신 위원장은 “간호사 중에는 아프리카 등에서 봉사하며 사는 이들도 많다”며 “한국의 간호사들이 헌신적으로 봉사하는 삶을 살고 있다는 사실을 매체 등을 통해 꾸준히 알려나갈 계획”이라고 말했다.신 위원장은 “우리 간호계가 글로벌 수준으로 올라서면 국민들은 양질의 간호서비스를 받을 수 있게 되고, 이는 곧 환자 안전과 직결된다”며 “성공적인 대회 개최를 위해 최선을 다할 계획이지만 국민들이 많은 관심을 가져주는 것도 중요하다”고 말했다. 이용권 기자 freeuse@munhwa.com","X",NA
"<포럼>잊어진 公衆보건 중요성 재인식해야","문화일보","2015.0599999999999","전공의들 열악한 근무환경… 환자안전 위협으로 돌아와인턴 61%·레지던트 41% “의료과실 저지를 뻔 했다”주당 근무시간이 일반 근로자의 2배 이상 많은 전공의들의 열악한 근무환경이 환자의 안전을 위협할 수 있다는 분석이 나왔다. 실제 수련병원에서 근무하는 전공의들은 의료과실을 적지 않게 경험했으며, 대부분이 피로누적 탓에 근무시간에 졸음을 경험한 것으로 나타났다.23일 김승섭 고려대 보건과학대 교수팀이 보건사회연구 최근호(6월호)에 게재한 ‘한국 전공의들의 근무환경, 건강, 인식된 환자안전’ 보고서에 따르면 2014년 전공의 1745명(인턴 359명, 레지던트 1386명)을 대상으로 설문 조사한 결과 이들은 평균적으로 1주일에 93시간을 근무했다. 한국인 근로자의 주당 평균 근무시간이 41시간인 것을 고려하면 이들은 1주일에 꼬박 이틀 이상(52시간)을 더 일하는 셈이다. 전공의들의 하루 수면시간은 평균 5.4시간이었으며, 월평균 당직일 수는 8일이었다. 이에 따라 전공의들의 지난 3개월간 건강상태를 조사한 결과 인턴과 레지던트의 각 83.2%·78.6%가 전신피로를 호소했고, 두통과 눈의 피로를 호소한 경우도 각 78.2%·76.7%에 달했다. 우울 증상을 일반 근로자 집단과 비교하면 인턴이 약 8배, 레지던트는 약 5배 많았다. 자살 생각도 일반 근로자보다 인턴은 7배, 레지던트는 9배 많이 하는 것으로 나타났다. 또 이들은 잦은 직장 내 폭력 및 폭언도 경험하고 있었다.이러한 전공의들의 열악한 근무환경은 고스란히 환자의 안전위협으로 돌아온다. 전공의들의 환자안전과 관련된 인식을 확인한 결과 지난 3개월간 인턴의 13.8%와 레지던트의 8.7%가 의료과실을 경험한 것으로 조사됐다. 또 ‘실제로 의료과실을 저지르지는 않았지만 저지를 뻔한 적이 있는지’에 대한 질문에 인턴의 61%, 레지던트의 41.1%가 ‘그렇다’고 답했다. 또 ‘근무시간에 본인의 의도와 무관하게 졸음을 경험한 적이 있는지’에서도 인턴의 89.3%, 레지던트의 68.6%가 ‘그렇다’고 응답했다.연구팀은 “한국 병원은 환자안전 및 의료과실과 관련해 공개적으로 논의하지 못하고 의료과실 발생 시 개인의 책임을 먼저 묻는 처벌적 조직문화인 것을 고려하면, 전공의들이 이번 연구에서 의료와 관련된 과실을 과소보고했을 가능성이 있다”며 “앞으로 환자안전과 관련해 실질적인 대책을 준비하는 과정에서 전공의 근무환경에 대한 구체적인 연구와 그에 기반을 둔 정책적 대안이 필요할 것”이라고 제안했다. 이용권 기자 freeuse@munhwa.com","X",NA
