"아시아투데이","X__1","X__2","X__3","X__4","X__5"
"title","com","date","text",NA,NA
"가천대 길병원, '2014 간호학술대회' 개최","아시아투데이","2014.1199999999999","간호부 학술대회0가천대 길병원 간호부는 10일 오후 가천홀에서 ‘2014년도 간호학술대회’를 개최했다./사진제공=길병원 가천대 길병원 간호부는 10일 가천홀에서 ‘2014년도 간호학술대회’를 개최했다고 11일 밝혔다. 이날 간호학술대회는 1년동안 진행됐던 임상간호연구 논문 및 학위논문, 모범 간호사례 등을 발표하고 우수논문을 시상했다. 올해는 신경외과 중환자실 김소윤 간호사가 ‘인천 소재 대학병원 중환자실 간호사의 환자 안전 관리의 중요성 인식 및 수행도 조사’를 발표하는 등 총 5편의 임상간호 연구 논문이 발표됐다. 또 박정해 간호사가 ‘음악요법이 노인백내장 수술 중 주관적 불안 및 통증, 활력증후, 코티졸에 미치는 효과’ 논문을 발표하는 등 3편의 학위논문도 소개됐다. 모범적인 간호 사례 2편도 발표됐다. 가천대 길병원 박효선 간호부장은 “환자에 대한 세심한 관찰과 간호를 토대로 간호 실무 발전을 위해 부단히 노력한 결실을 맺게 됐다”며 “연구 결과들이 환자를 위한 양질의 서비스로 이어질 수 있도록 더욱 노력하자”고 격려했다.","X",NA
"영양군, 벌목 중 나무에 깔린 환자 안전구조","아시아투데이","2014.1199999999999","간호부 학술대회0가천대 길병원 간호부는 10일 오후 가천홀에서 ‘2014년도 간호학술대회’를 개최했다./사진제공=길병원 가천대 길병원 간호부는 10일 가천홀에서 ‘2014년도 간호학술대회’를 개최했다고 11일 밝혔다. 이날 간호학술대회는 1년동안 진행됐던 임상간호연구 논문 및 학위논문, 모범 간호사례 등을 발표하고 우수논문을 시상했다. 올해는 신경외과 중환자실 김소윤 간호사가 ‘인천 소재 대학병원 중환자실 간호사의 환자 안전 관리의 중요성 인식 및 수행도 조사’를 발표하는 등 총 5편의 임상간호 연구 논문이 발표됐다. 또 박정해 간호사가 ‘음악요법이 노인백내장 수술 중 주관적 불안 및 통증, 활력증후, 코티졸에 미치는 효과’ 논문을 발표하는 등 3편의 학위논문도 소개됐다. 모범적인 간호 사례 2편도 발표됐다. 가천대 길병원 박효선 간호부장은 “환자에 대한 세심한 관찰과 간호를 토대로 간호 실무 발전을 위해 부단히 노력한 결실을 맺게 됐다”며 “연구 결과들이 환자를 위한 양질의 서비스로 이어질 수 있도록 더욱 노력하자”고 격려했다.","X",NA
"세종병원, 국제의료기관평가 JCI 재인증 획득","아시아투데이","2014.1099999999999","응급구조0영양군 일월면 섬촌리에서 벌목을 하다 부상을 입은 요구조자를 입암 119구조대와 영양 구급대가 환자를 응급처치한 후 안동병원 닥터헬기를 요청하여 환자를 인계했다./사진제공=안동소방서 경북 안동소방서(서장 김규수)는 지난 14일 오후 1시께 경북 영양군 일원면 섬촌리 야산에서 벌목작업을 하다 부상을 입은 남모씨(65)를 구조했다.안동소방서에 따르면 남씨는 벌목작업을 하다가 넘어지는 나무에 허리와 다리를 심하게 다친 상태로 119에 신고했으며 신속 출동한 입암 119구조대와 영양 구급대가 환자를 응급처치한 후 안동병원 닥터헬기를 요청해 환자를 인계했다.장현규 입암119안전센터장은 “최근 날씨가 추워지면서 화목보일러 땔감을 구하기 위해 산에서 벌목하다 다치는 사고가 빈번하게 발생하고 있어 주민들의 각별한 주의가 요구된다”며 “나무를 벨 때는 나무 높이의 1.5배 이상 작업 반경 확보 등 안전수칙을 반드시 준수해야 한다”고 말했다.","X",NA
"강남·부천 자생한방병원, 보건복지부 의료기관인증 마크 획득","아시아투데이","2014.0799999999999","세종병원 JCI 재인증 평가 종료 기념사진1 심장전문병원 세종병원은 2011년에 이어 두 번째 JCI 심사에도 전 부문 인증을 받았다고 4일 밝혔다. 이번 통과는 JCI 재인증에 성공한 국내 대형급 의료기관들도 평가기준을 충족하기 쉽지 않은 5개 평가부문에서 만점을 받은데 따른 것으로, 세종병원이 수준 높은 ‘환자 안전’과 ‘의료서비스’ 체계를 다시 한번 증명했다고 병원측은 설명했다.JCI(Joint Commission International)란 세계보건기구(WHO)가 인정한 의료기관 인증제도. 세종병원은 인증 기간 동안 QI팀을 중심으로 각 부서에 해당하는 ‘환자 안전’과 ‘의료의 질’에 대한 기준을 유지했으며, 3년마다 진행되는 재평가를 성공리에 마쳤다.세종병원은 14개 평가부문 중 QPS(질 향상과 환자 안전), PCI(감염 예방과 관리), ACC(진료의 이용과 안전), PFR(환자와 가족의 권리), PFE(환자 및 가족교육)의 5개 부문에서 모두 만점을 받았다. 박진식 병원장(이사장)은 “보건복지부가 지정한 전문병원 최초로 JCI 재인증을 받은 의료기관으로서 환자에게 ‘안전’과 ‘최상의 의료서비스’를 제공하는 의료기관의 역할에 충실할 것”이라고 말했다.","X",NA
"차움, 미래형 건진센터 삼성분원 오픈","아시아투데이","2014.1099999999999","세종병원 JCI 재인증 평가 종료 기념사진1 심장전문병원 세종병원은 2011년에 이어 두 번째 JCI 심사에도 전 부문 인증을 받았다고 4일 밝혔다. 이번 통과는 JCI 재인증에 성공한 국내 대형급 의료기관들도 평가기준을 충족하기 쉽지 않은 5개 평가부문에서 만점을 받은데 따른 것으로, 세종병원이 수준 높은 ‘환자 안전’과 ‘의료서비스’ 체계를 다시 한번 증명했다고 병원측은 설명했다.JCI(Joint Commission International)란 세계보건기구(WHO)가 인정한 의료기관 인증제도. 세종병원은 인증 기간 동안 QI팀을 중심으로 각 부서에 해당하는 ‘환자 안전’과 ‘의료의 질’에 대한 기준을 유지했으며, 3년마다 진행되는 재평가를 성공리에 마쳤다.세종병원은 14개 평가부문 중 QPS(질 향상과 환자 안전), PCI(감염 예방과 관리), ACC(진료의 이용과 안전), PFR(환자와 가족의 권리), PFE(환자 및 가족교육)의 5개 부문에서 모두 만점을 받았다. 박진식 병원장(이사장)은 “보건복지부가 지정한 전문병원 최초로 JCI 재인증을 받은 의료기관으로서 환자에게 ‘안전’과 ‘최상의 의료서비스’를 제공하는 의료기관의 역할에 충실할 것”이라고 말했다.","X",NA
"서울아산병원, 환자이송 어플리케이션 개발해 첫 적용","아시아투데이","2014.0699999999999","자생한방병원은 강남자생한방병원과 부천자생한방병원이 의료기관평가인증원으로부터 ‘의료기관 인증마크’를 획득했다고 4일 밝혔다.자생한방병원은 2013년 말부터 의료기관인증준비 태스크포스(TF)를 구성, 환자 안전과 의료서비스 질 향상을 위해 다양한 안전교육 및 시설보안 등을 추진했다. 이후 평가인증원의 전문가들로 구성된 심사위원단에게 엄격한 현장평가를 받았으며, 부천자생과 강남자생은 각각 지난 6월과 7월에 보건복지부로부터 의료기관 인증마크를 획득했다. 강남자생한방병원의 박병모 병원장은 “자생한방병원은 철저한 환자 관리와 시설관리로 환자가 안전하게 치료받을 수 있는 최선의 환경을 유지하고 있다”며 “최고 수준의 영상의학 의료진과 첨단의 영상검사장비를 보유하고 척추질환의 정확한 원인을 파악해 환자에게 최선의 치료서비스를 제공하고 있다”고 말했다.","X",NA
"세브란스, 정신과 병동 리모델링 확장 진료","아시아투데이","2014.0999999999999","차움 건진센터 삼성분원 1층에 위치한 영상의학존1 차병원그룹은 서울 삼성동에 차움 건진센터 삼성분원을 오픈했다고 11일 밝혔다.차움 건진센터 삼성분원은 혁신적인 장비를 통해 30~40대 청장년층의 건강을 위협하는 지방간·대사증후군 등의 주요 건강방해 요인들을 정밀하게 검진하고, 조기 검진을 통해 건강한 노후를 미리 대비할 수 있도록 만반의 준비를 마쳤다.저선량 CT 등 장비를 갖춰 방사선 피폭 위험을 낮추는 등 환자 안전에 신경썼다. GE헬스케어 옵티마 CT660 프리덤 에디션은 저선량 솔루션인 에이서(ASiR)가 탑재돼 있어, 방사선 노출을 획기적으로 줄여 1mSv이하로도 심장·흉부 촬영이 가능하다. 지방간 진단을 개선시키는 MRI 기술인 ‘아이디얼 아이큐(IDEAL-IQ)’ 어플리케이션의 경우 지방간 비율을 0.01% 수준까지 정량적으로 분석할 수 있다.차움 건진센터 삼성분원 윤상욱 원장은 “차움 건진센터는 기존의 질병 중심에서 사람 중심의 개념으로 디자인된 건진센터로서 올바른 건진을 통한 질환의 조기발견 및 검사 후 고객들의 건강관리를 책임질 것”이라고 말했다.","X",NA
"좋은리버뷰요양병원, 복지부 요양병원 인증 획득","아시아투데이","2014.0599999999999","사진2-환자이송 어플리케이션 시행장면_011 실시간 환자이송 상황을 파악해 신속·정확하게 맞춤형 환자이송 서비스를 제공할 수 있는 어플리케이션이 국내 최초로 선을 보인다. 서울아산병원은 환자이송반이 실시간으로 환자이송 상황을 파악하고 이송지연 및 취소 상황을 손쉽게 공유할 수 있는 환자이송 어플리케이션을 개발, 17일부터 실전 사용한다고 16일 밝혔다.어플리케이션은 △환자이송업무 △공지사항 공유 △원내 전화연결 등 3가지 기능을 갖췄다. 이를 통해 신속정확한 환자이송은 물론, 환자안전을 모도할 수 있게 됐다는 것이 병원측 설명이다. 시범운영 결과 기존 유선 사용 시 2분 이상 소요되던 상황보고가 실시간으로 가능해져 촬영과 검사 등 환자에게 필요한 진료과정이 한층 신속하게 진행된 것으로 나타났다.이증연 서울아산병원 관리본부장은 “어플리케이션 활용을 통해 연간 1000만원이 넘는 SMS 발송비용 절감 효과뿐 아니라, 정확하고 신속한 이송업무로 만족도를 높이고 환자안전을 최우선으로 고려하는 등 환자경험중심의 글로벌 표준 서비스를 제공한다는 것에 큰 의미가 있다”고 말했다.","X",NA
"구포성심병원, ‘손 위생 비교체험’ 이색 행사","아시아투데이","2014.05","사진2-환자이송 어플리케이션 시행장면_011 실시간 환자이송 상황을 파악해 신속·정확하게 맞춤형 환자이송 서비스를 제공할 수 있는 어플리케이션이 국내 최초로 선을 보인다. 서울아산병원은 환자이송반이 실시간으로 환자이송 상황을 파악하고 이송지연 및 취소 상황을 손쉽게 공유할 수 있는 환자이송 어플리케이션을 개발, 17일부터 실전 사용한다고 16일 밝혔다.어플리케이션은 △환자이송업무 △공지사항 공유 △원내 전화연결 등 3가지 기능을 갖췄다. 이를 통해 신속정확한 환자이송은 물론, 환자안전을 모도할 수 있게 됐다는 것이 병원측 설명이다. 시범운영 결과 기존 유선 사용 시 2분 이상 소요되던 상황보고가 실시간으로 가능해져 촬영과 검사 등 환자에게 필요한 진료과정이 한층 신속하게 진행된 것으로 나타났다.이증연 서울아산병원 관리본부장은 “어플리케이션 활용을 통해 연간 1000만원이 넘는 SMS 발송비용 절감 효과뿐 아니라, 정확하고 신속한 이송업무로 만족도를 높이고 환자안전을 최우선으로 고려하는 등 환자경험중심의 글로벌 표준 서비스를 제공한다는 것에 큰 의미가 있다”고 말했다.","X",NA
