"한겨례","X__1","X__2","X__3","X__4","X__5"
"title","com","date","text",NA,NA
"경찰 “이대목동 병원 신생아 사인은 감염에 의한 패혈증”","한겨레","2018.01","이대목동 병원 신생아 중환자실. 사진공동취재단국립과학수사연구원(국과수)의 부검 결과 이대목동 병원에서 사망한 신생아들이 ‘시트로박터 패혈증’으로 사망한 것으로 드러났다.서울지방경찰청 광역수사대는 12일 국과수에서 통보받은 신생아들에 대한 부검결과를 발표하고 관련자 수사계획을 밝혔다. 지난달 16일 이대목동병원 신생아 중환자실에서 4명의 신생아가 연이어 사망한 지 한달 만에 발표된 결과다.경찰은 이날 배포자료를 내어, 국과수는 신생아들이 ‘시트로박터 패혈증’으로 사망한 것으로 판단했다고 밝혔다. 국과수는 “신생아 4명을 부검한 결과 ‘시트로박터 프룬디’균 감염(패혈증)으로 사망했을 것으로 추정된다”면서 “사망한 신생아 4명의 피에서 검출된 '시트로박터 프룬디’균이 신생아 3명이 사망하기 전 채취한 피와 신생아들에게 투여된 지질영양주사제에서도 발견됐다”고 밝혔다. 국과수는 감염경로에 대해 “주사제가 오염됐거나 주사제를 다루는 과정에서 오염이 발생해 감염됐을 가능성이 있다”고 유추했다. 국과수는 또 “균에 감염돼 비슷한 시기에 사망한 것은 이례적인 일”이라면서 “신생아 4명이 비슷한 시기에 감염돼 비슷한 경과를 보였을 가능성을 배제할 수 없다”고 설명했다.하지만 국과수는 일각에서 제기되었던 로타 바이러스 감염이나 괴사성 장염으로 인한 사망 가능성은 낮다고 판단했다. 국과수는 자료에서 “신생아 4명 모두 소대장에서 로타바이러스가 검출되었으나, 소대장 내용물에서만 발견되었고 생존한 신생아들도 있다. 장염은 2명의 신생아에서만 발견됐다”고 설명했다. 국과수는 이외에도 주사제에 첨가한 전해질 농도 이상으로 인해 사망했거나, 약물 투약 오류, 주사 튜브로의 이물질 주입으로 인한 사망 가능성은 낮다고 보았다.경찰은 주사제(지질영양제)를 다루는 과정에서 ‘감염관리 의무위반’ 혐의가 있는 간호사 3명과 ‘지도·감독 의무 위반’ 혐의가 있는 수간호사·전공주치의를 포함해 모두 5명을 업무상 과실치사 혐의로 입건할 예정이다. 경찰은 추후 수사계획에 대해 “16일 주치의를 소환해 조사하는 등 피의자 추가조사와 참고인 조사를 진행할 예정”이라고 밝혔다. 임재우 기자 abbado@hani.co.kr","○","신생아    집단 사망"
"병원 예약때 주민번호 수집 재허용…‘오락가락 행정’","한겨레","2014.1099999999999","정부가 전화나 인터넷으로 진료 예약을 받는 병원의 주민등록번호(주민번호) 수집을 금지한 지 넉달도 되지 않아, 이를 뒤집었다. 원칙 없는 ‘오락가락 행정’이자 환자의 개인정보 보호보다 병원 편의 봐주기라는 비판이 나온다. 보건복지부와 행정자치부는 28일 “병원이 환자들의 건강보험 가입 여부를 확인할 필요가 있어 진료·검사 목적으로 예약을 받을 때엔 주민번호 수집을 허용한다”고 밝혔다. 앞서 복지부와 안전행정부(현 행정자치부)는 지난 8월 초 개인정보보호법 개정안이 시행되자 ‘의료기관 개인정보보호 가이드라인’을 정해 병원 예약접수 때 주민번호를 수집하지 말고 이름·생년월일·전화번호·주소만을 파악하도록 했다. 이에 대한병원협회(병협)가 “주민번호가 없으면 환자 신원 파악이 부정확해질 우려가 있다”고 반발했지만, 복지부는 “원무과에서 한 차례 더 환자 신원을 확인하면 문제 될 게 없다”는 이유로 주민번호 수집 금지 방침을 고수했다. 대신 여섯달의 계도 기간을 뒀다. 그러나 정부는 계도 기간을 두달 남겨 놓은 이날 ‘환자 안전’ 등을 이유로 병원 쪽의 요구를 그대로 수용했다. 복지부 관계자는 “전화번호가 자주 바뀌는 사람이나 주소를 정확히 모르는 노인 등이 있어 진료 예약 과정 등에서 환자를 구별하는 데 혼선이 많았다”고 가이드라인 변경 이유를 밝혔다. 정부 지침에 맞춰 이미 돈을 투자해 예약 시스템을 바꾼 일부 병원들만 손해를 보게 된 꼴이다. 시민단체들은 개인정보 보호를 강화하는 법 취지에 반하는 조처라며 반발했다. 박용덕 건강세상네트워크 운영위원은 “2012년 응급실 당직 전문의가 응급실에 상주해야 한다는 규정을 고시했다가 의료계가 반발하자 흐지부지된 적이 있다. 정부가 환자 권익을 보호하겠다고 생색을 내다가 이해 당사자들이 반발하면 슬그머니 취소하는 관행은 이제 없어져야 한다”며 “정책 목표가 병원 행정 편의 봐주기가 아니라면 병원만 주민번호 수집 금지의 예외로 둘 이유가 없다”고 비판했다.박수지 기자 suji@hani.co.kr","X",NA
"원격의료 참여 꺼리자…복지부 “진료비 지원”","한겨레","2014.1099999999999","정부가 원격의료 시범사업에 참여하는 의원급 의료기관에 환자 진료비를 지원하는 방안을 내놨다. 대한의사협회(의협) 등 의료계가 ‘환자 안전을 해칠 수 있다’며 여전히 시범사업에 반대하고 있는 가운데, 의료기관의 참여를 이끌어내려는 정부의 노림수로 보인다. 의료계의 반응은 여전히 냉랭하다. 보건복지부는 26일 이번 시범사업에 참여 중인 동네 의원, 곧 1차 의료기관한테 월 9900원에서 최대 3만8000원의 환자(한 명당) 진료비를 지원하기로 했다. 진료비가 지원되는 원격의료 행위는 고혈압과 당뇨 재진 환자를 대상으로 하는 원격모니터링과 원격상담 등이다. 원격모니터링이란 의사가 컴퓨터 등 정보통신 기기를 활용해 멀리 떨어진 환자의 질환 상태를 관찰하는 행위를 가리킨다. 원격의료 시범사업에 참여할 의료기관도 추가로 모집한다. 복지부 관계자는 “시범사업이 의료기관을 중심으로 이뤄져야 하는데 각 지역 보건소를 위주로 하다보니 여러 한계에 부딪히고 있는 것이 사실”이라고 모집 배경을 밝혔다. 복지부는 이번 시범사업 시행에 앞서 다양한 경로로 의원급 의료기관의 참여를 당부했지만, 이에 동참한 의원은 6곳뿐이다. 의협 등 의료계와 보건의료산업노조 등 의료단체는 정부의 원격의료 시범사업을 ‘의료 영리화 및 민영화’ 시도로 규정하며 강하게 반발해왔다. 정부의 이번 원격의료 시범사업은 개인 의원 6곳과 강원 홍천·충남 보령·경북 영양·전남 신안 지역 보건소 5곳 등을 중심으로 지난 9월말부터 시작됐다. 사업 기간은 내년 3월까지다. 최성진 기자 csj@hani.co.kr","X","원격의료"
"[단독] 오른쪽 콧구멍이 아픈데 왼쪽을…대학병원의 ‘황당한 치료’","한겨레","2014.0599999999999","정부가 원격의료 시범사업에 참여하는 의원급 의료기관에 환자 진료비를 지원하는 방안을 내놨다. 대한의사협회(의협) 등 의료계가 ‘환자 안전을 해칠 수 있다’며 여전히 시범사업에 반대하고 있는 가운데, 의료기관의 참여를 이끌어내려는 정부의 노림수로 보인다. 의료계의 반응은 여전히 냉랭하다. 보건복지부는 26일 이번 시범사업에 참여 중인 동네 의원, 곧 1차 의료기관한테 월 9900원에서 최대 3만8000원의 환자(한 명당) 진료비를 지원하기로 했다. 진료비가 지원되는 원격의료 행위는 고혈압과 당뇨 재진 환자를 대상으로 하는 원격모니터링과 원격상담 등이다. 원격모니터링이란 의사가 컴퓨터 등 정보통신 기기를 활용해 멀리 떨어진 환자의 질환 상태를 관찰하는 행위를 가리킨다. 원격의료 시범사업에 참여할 의료기관도 추가로 모집한다. 복지부 관계자는 “시범사업이 의료기관을 중심으로 이뤄져야 하는데 각 지역 보건소를 위주로 하다보니 여러 한계에 부딪히고 있는 것이 사실”이라고 모집 배경을 밝혔다. 복지부는 이번 시범사업 시행에 앞서 다양한 경로로 의원급 의료기관의 참여를 당부했지만, 이에 동참한 의원은 6곳뿐이다. 의협 등 의료계와 보건의료산업노조 등 의료단체는 정부의 원격의료 시범사업을 ‘의료 영리화 및 민영화’ 시도로 규정하며 강하게 반발해왔다. 정부의 이번 원격의료 시범사업은 개인 의원 6곳과 강원 홍천·충남 보령·경북 영양·전남 신안 지역 보건소 5곳 등을 중심으로 지난 9월말부터 시작됐다. 사업 기간은 내년 3월까지다. 최성진 기자 csj@hani.co.kr","X","원격의료"
"[단독] 복지부, 효사랑병원 부실 알고도 의료기관 인증","한겨레","2014.0599999999999","이대목동병원(서울　양천구). 박종식 기자 anaki@hani.co.kr서울 양천구 이대목동병원에서 발생한 ‘좌우가 뒤바뀐 엑스레이 필름’ 사건은 환자들이 유명 대학병원에 기대하는 의료 서비스에 대한 신뢰와 기대치를 한순간에 무너뜨렸다. 환자 안전 인증평가를 앞두고 병원 쪽이 중대한 의료 과실을 덮으려 한 것 아니냐는 지적까지 나온다. 이대목동병원은 지난해 12월 말부터 4월 말까지 이비인후과·소아과·내과·가정의학과로 내원한 환자 578명의 코 엑스레이 필름 영상의 좌우를 바꾸어 표시하는 어처구니없는 실수를 저질렀다. 방사선실에서는 이를 알지 못한 채 병원전산시스템에 영상을 전송했고, 의사들은 좌우가 바뀐 영상을 보며 환자들을 진료했다. 전체 환자 578명 가운데 한쪽 코에만 문제가 있었던 사람은 123명이다. 이 가운데는 어린이도 23명 포함돼 있다. 이들은 좌우가 바뀐 영상을 본 의사의 진단과 소견에 따라 치료를 받았을 가능성이 높다. 쉽게 말해 환자는 왼쪽 콧구멍에 문제가 있다고 병원을 찾았는데 엉뚱하게 오른쪽 콧구멍을 진료한 셈이다. 455명은 양쪽 콧구멍에 모두 축농증 등이 있거나 별문제가 없는 환자였다. 넉달 동안 중대 의료 과실을 까맣게 모르고 있던 병원이 뒤늦게 문제를 인식하게 된 것은 ‘시스템’ 덕이 아니라 순전히 우연이었다. 병원은 광대뼈에 쇠를 박은 수술 환자의 엑스레이 영상을 보다가 실제 쇠의 위치와 영상에 나타난 쇠의 위치가 다르다는 사실을 발견하고서야 비로소 문제를 알아차렸다. 병원 쪽은 “환자의 대기 시간이 길어지면서 지난해 12월부터 가슴(폐) 엑스레이를 찍는 촬영실에서 코도 함께 촬영하다 사고가 발생했다”고 해명했다. 병원 쪽은 가슴 엑스레이는 좌우 폐의 위치가 ‘사전 세팅’돼 있기 때문에 영상이 뒤바뀌는 사고는 없었다고 했다. 좌우 세팅이 안 돼 있던 코의 경우, 촬영 전 좌우 표시를 별도로 해줘야 했는데 이를 걸렀다는 것이다. 병원 관계자는 “엑스레이 필름 영상의 좌우가 바뀐 환자들 가운데 중증 환자는 없다고 판단해 환자들에게 따로 연락하지는 않았다. 오히려 연락을 하면 걱정만 키울 수 있다고 판단했다”고 말했다. 진료를 한 4개 진료과목 의사들이 이런 사실을 넉달씩이나 몰랐던 것을 두고는 “심각한 사안이 아니면 육안으로 파악하기 힘들다”고 했다. 병원은 방사선사와 방사선실장만 시말서를 쓰도록 하는 선에서 의료 과실에 따른 징계를 ‘조용히’ 끝냈다. 이 병원은 지난 16~20일 국제의료기관평가위원회(JCI)의 방문 평가를 통해 환자 안전 시스템 등에서 국내 최초로 재인증을 받았다고 홍보했다. 엑스레이 필름 영상의 좌우가 바뀌는 황당한 의료 과실이 사전에 드러났다면 재인증을 받기 어려웠을 수도 있다. 그럼에도 의료법에는 의료진의 과실을 처벌하는 조항이 없다. 보건복지부 쪽은 “무자격자가 아닌 정상적인 의료진이 과실을 저지른 뒤 인지하지 못한 경우에는 현행 의료법에 적용 가능한 조항이 없다. 대신 그로 인해 피해가 발생하면 의료분쟁조정제도를 통해 피해를 배상하는 절차를 거칠 수 있다”고 했다. 의료소송을 전문으로 하는 윤태중 변호사(법무법인 태신)는 “병원의 잘못이 맞는데, 병원의 (대응) 태도에 큰 문제가 있어 보인다”고 했다. 서울에서 이비인후과 병원을 운영하는 한 전문의는 “일반적으로 한쪽 콧구멍에 문제가 있어도 치료는 양쪽을 함께 하기 때문에 큰 문제는 없을 수 있다. 하지만 대형병원에서 환자 수백명에게 그런 일이 벌어졌다는 것은 이해하기 힘들다”고 말했다.서영지 기자 yj@hani.co.kr","○","의료사고"
"‘화재안전’ 필수항목서 빠져…정부 요양병원 인증 ‘구멍’","한겨레","2014.05","21명의 사망자를 낸 전남 장성군 효실천사랑나눔병원 화재 참사와 관련해 보건복지부가 부실한 ‘의료기관 인증평가’로 이 병원을 의료기관으로 인정한 사실이 11일 확인됐다.복지부는 지난해 10월22~24일 인증평가 과정에서 야간 당직 의료인이 부족하다는 사실을 알면서도 인증을 해줬고, 화재 예방과 관련된 항목에선 오히려 후한 점수를 줬다. 소화기 비치 여부 등 화재 예방에 필수적인 사항은 평가 항목에서 빠졌다. 장하나 새정치민주연합 의원이 입수한 복지부의 ‘효사랑병원 의료기관 인증평가 결과’를 보면, 당직 의료인 부족 문제는 평가 과정에서도 문제점으로 지적됐다. 현행 의료법 시행령에 요양병원 야간 당직 의료인 기준은 입원환자 200명당 의사 1명, 간호사 2명으로 정해져 있다.복지부는 평가서에서 “평균 재원 환자가 325명으로 상주 의사 2명, 간호사 4명이 필요한데도 상주 의사 1인, 간호사 2인으로 당직 의료인 배치 기준에 미달된다”고 지적했다. 하지만 복지부는 이런 지적에도 불구하고 평가표의 ‘규정에 따라 당직 의료인을 배치한다’ 항목에 상·중·하 중에서 ‘중’으로 평가한 뒤 효사랑병원의 의료기관 지정을 통과시켰다. 또 화재 예방과 관련된 항목에서도 “활동 계획에 따라 화재 예방 점검을 수행한다” “직원은 소방안전에 대해 교육을 받고, 그 내용을 이해한다” 등을 모두 ‘상’으로 평가했다. 그런데 사고 이후 경찰 조사 결과 불이 난 별관 2층의 소화기 11개 가운데 8개가 잠금장치가 설치된 캐비닛 안에 비치돼 있었다. 소화기 비치 여부 등은 평가 대상이 아니었다. 장 의원은 “복지부는 부실하기 짝이 없는 점검을 통해 효사랑병원을 정식 의료기관으로 지정한 근본적 책임을 지고 유가족에게 사과해야 한다. 또 의료기관 인증평가 과정에서 화재 등에 대한 안전관리 기준도 획기적으로 강화해야 한다”고 했다. 복지부는 “의료기관 인증 평가 기준을 대폭 강화하는 방안을 검토하고 있다”고 밝혔다. 복지부 관계자는 “의료기관 인증 평가는 화재 예방 측면보다는 환자 안전과 충실한 의료서비스 제공 등 폭넓은 측면을 두루 점검하기 위한 제도로 2013년에 처음 도입됐다. 이번 화재를 계기로 야간 당직 의료인의 수는 ‘상·중·하’가 아니라 ‘유·무’로 평가 기준을 강화하고, 소화기 비치 등 화재 예방과 관련한 평가 항목도 구체화하도록 개선을 추진하겠다”고 밝혔다. 송호균 기자 uknow@hani.co.kr","○","병원화재"
"공공병원 10%뿐…돈 안되는 진료과목 없애고 환자 거부","한겨레","2014.05","28일 화재로 21명이 숨진 전남 장성 효실천사랑나눔 요양병원(효사랑 병원)은 지난해 12월 보건복지부의 ‘인증’을 받은 의료기관이다. 복지부는 ‘의료기관의 환자 안전 수준과 의료 서비스의 질을 정부가 보장한다’며 ‘의료기관 인증제’를 시행해왔다. 그러나 이번 참사로 정부 평가가 허점투성이라는 사실이 드러났다. 우선 ‘화재안전’은 인증 대상에 들어 있긴 하지만 필수 항목이 아니다. 따라서 화재에 대비한 안전시설 등이 미흡해도 다른 분야의 평가가 좋으면 인증을 받을 수 있다. 인증평가제도의 가장 큰 맹점으로 지적된다. ‘요양병원 인증기준’을 보면, 안전·진료체계·경영 등의 분야에서 203개 항목을 조사하도록 돼 있다. 조사 결과 충족률이 80%를 넘어야 인증이 이뤄진다. 그러나 화재예방과 관련된 5가지 항목은 ‘필수’ 항목에서 빠져 있다. 송현종 상지대 교수(의료경영학)는 “화재와 관련한 안전 문항이 필수 항목에서 빠진 건 안전과 관련한 우리의 인식 수준을 반영한다”고 짚었다. 복지부 관계자는 “요양병원 의무인증을 지난해부터 시행했는데 병원에 부담을 줄 수 있다는 전문가들의 우려로 화재안전 문항을 필수 항목에서 빼기로 했다”고 해명했다.요양병원 인증기준 중 화재안전 항목 복지부는 효사랑 병원의 평가 항목별 세부 등급 결과를 밝히지 않고 있다. 세부 등급을 공개하면 ‘병원 줄 세우기’라는 비판이 제기된다는 이유에서다. 그러나 2013년 2월 이전까지 건강보험심사평가원(심평원)이 요양병원의 시설과 안전을 평가할 땐 세부 영역의 수행률을 공개했다. 한번 인증을 받으면 유효기간이 4년에 이르지만 중간에 그 상태가 유지되고 있는지 외부에서 점검할 수단이 없는 것도 문제다. 인증 뒤 2년까지는 ‘필수’ 항목만, 그 뒤에는 전체 항목을 자체 평가해 보고하게 돼 있다. 과거 심평원이 평가를 맡을 땐 소방서 등에 의뢰해 매년 점검한 데서 후퇴한 것이다. 병원 평가인증 실무를 맡은 의료기관평가인증원의 정혜경 인증사업실 팀장은 “현장조사 때 해당 병원이 환경안전 항목에서 모두 좋은 평가를 받았더라도 그 뒤 그런 상태를 계속 유지하고 있는지 알 수 없다”고 짚었다. 안전과 관련한 조사 항목에서 화재 때 연기를 빼내는 ‘제연·공조설비’ 같은 화재 대비 시설을 점검하지 못하는 대목도 인증평가의 한계로 꼽힌다. 이번에 희생된 사람들은 연기가 빠지지 않아 질식사한 것으로 드러났지만, 인증 기준엔 제연설비 등에 관한 규정 자체가 없다. 화재 안전관리 분야는 ‘소방시설 설치 및 안전관리에 관한 법률’에 따른다고 돼 있다. 그런데 이 법엔 병원에 제연·공조설비를 설치해야 한다는 조항이 없다. 전병왕 복지부 보건의료정책과장은 “소방 설비는 전문적인 영역이라 소방법에서 다룰 수밖에 없다. 스프링클러는 필요하다고 봐 입법 의견을 냈지만 제연·공조설비 관련 요청은 하지 않았다”고 말했다. 요양병원 인증은 개별 병원이 이를 신청한 뒤 통상 6개월~1년의 기간을 두고 203개 항목을 자체적으로 준비하면, 조사위원 3명이 병원이 지정한 날짜에 병원을 방문해 2~3일 동안 점검한다. 조사가 끝나는 날로부터 2개월 안에 의료기관평가인증원이 조사 결과를 심의한 뒤 인증 여부를 공표한다.박수지 기자 suji@hani.co.kr","○","병원화재"
"생명마저 돈벌이 수단…정부는 의료영리화 부채질","한겨레","2014.05","28일 화재로 21명이 숨진 전남 장성 효실천사랑나눔 요양병원(효사랑 병원)은 지난해 12월 보건복지부의 ‘인증’을 받은 의료기관이다. 복지부는 ‘의료기관의 환자 안전 수준과 의료 서비스의 질을 정부가 보장한다’며 ‘의료기관 인증제’를 시행해왔다. 그러나 이번 참사로 정부 평가가 허점투성이라는 사실이 드러났다. 우선 ‘화재안전’은 인증 대상에 들어 있긴 하지만 필수 항목이 아니다. 따라서 화재에 대비한 안전시설 등이 미흡해도 다른 분야의 평가가 좋으면 인증을 받을 수 있다. 인증평가제도의 가장 큰 맹점으로 지적된다. ‘요양병원 인증기준’을 보면, 안전·진료체계·경영 등의 분야에서 203개 항목을 조사하도록 돼 있다. 조사 결과 충족률이 80%를 넘어야 인증이 이뤄진다. 그러나 화재예방과 관련된 5가지 항목은 ‘필수’ 항목에서 빠져 있다. 송현종 상지대 교수(의료경영학)는 “화재와 관련한 안전 문항이 필수 항목에서 빠진 건 안전과 관련한 우리의 인식 수준을 반영한다”고 짚었다. 복지부 관계자는 “요양병원 의무인증을 지난해부터 시행했는데 병원에 부담을 줄 수 있다는 전문가들의 우려로 화재안전 문항을 필수 항목에서 빼기로 했다”고 해명했다.요양병원 인증기준 중 화재안전 항목 복지부는 효사랑 병원의 평가 항목별 세부 등급 결과를 밝히지 않고 있다. 세부 등급을 공개하면 ‘병원 줄 세우기’라는 비판이 제기된다는 이유에서다. 그러나 2013년 2월 이전까지 건강보험심사평가원(심평원)이 요양병원의 시설과 안전을 평가할 땐 세부 영역의 수행률을 공개했다. 한번 인증을 받으면 유효기간이 4년에 이르지만 중간에 그 상태가 유지되고 있는지 외부에서 점검할 수단이 없는 것도 문제다. 인증 뒤 2년까지는 ‘필수’ 항목만, 그 뒤에는 전체 항목을 자체 평가해 보고하게 돼 있다. 과거 심평원이 평가를 맡을 땐 소방서 등에 의뢰해 매년 점검한 데서 후퇴한 것이다. 병원 평가인증 실무를 맡은 의료기관평가인증원의 정혜경 인증사업실 팀장은 “현장조사 때 해당 병원이 환경안전 항목에서 모두 좋은 평가를 받았더라도 그 뒤 그런 상태를 계속 유지하고 있는지 알 수 없다”고 짚었다. 안전과 관련한 조사 항목에서 화재 때 연기를 빼내는 ‘제연·공조설비’ 같은 화재 대비 시설을 점검하지 못하는 대목도 인증평가의 한계로 꼽힌다. 이번에 희생된 사람들은 연기가 빠지지 않아 질식사한 것으로 드러났지만, 인증 기준엔 제연설비 등에 관한 규정 자체가 없다. 화재 안전관리 분야는 ‘소방시설 설치 및 안전관리에 관한 법률’에 따른다고 돼 있다. 그런데 이 법엔 병원에 제연·공조설비를 설치해야 한다는 조항이 없다. 전병왕 복지부 보건의료정책과장은 “소방 설비는 전문적인 영역이라 소방법에서 다룰 수밖에 없다. 스프링클러는 필요하다고 봐 입법 의견을 냈지만 제연·공조설비 관련 요청은 하지 않았다”고 말했다. 요양병원 인증은 개별 병원이 이를 신청한 뒤 통상 6개월~1년의 기간을 두고 203개 항목을 자체적으로 준비하면, 조사위원 3명이 병원이 지정한 날짜에 병원을 방문해 2~3일 동안 점검한다. 조사가 끝나는 날로부터 2개월 안에 의료기관평가인증원이 조사 결과를 심의한 뒤 인증 여부를 공표한다.박수지 기자 suji@hani.co.kr","○","병원화재"
"의사 못 알아보게 과다 마취한뒤…‘유령의사’가 성형수술","한겨레","2014.04","병원에 입원해야 할 만큼 몸이 아프면 당연히 주변 사람들의 도움이 절실하다. 병원에서 일하는 의사나 간호사 등을 사람들이 선망하는 이유이기도 하다. 하지만 우리나라 환자들은 의료 인력의 따스한 손길보다는 각종 고가의 검사 등을 받으면서 병원의 수익에 보탬이 되는 구실을 하고 있다. 수익을 추구하는 민간의료가 전체의 90%를 점유하고 있기 때문이다. 그럼에도 박근혜 정부는 병원의 수익 추구를 더욱 부추기는 정책들을 추진하고 있다. ■ 비싼 검사만 잔뜩, 환자는 돈인가?우리나라의 건강보험 보장성, 즉 전체 진료비 가운데 건강보험이 부담하는 비율은 62%가량이다. 유럽 대다수 국가들이 80~90% 이상인 것과 비교하면 많이 낮다. 국내 병원들이 정부나 건강보험 쪽의 규제를 덜 받으면서 수익이 많이 남는 비급여 진료 영역을 크게 늘리고 있기 때문이다. 실제 병원의 비용 대비 수입은 간호 서비스 등 건강보험 적용 항목은 75% 수준이지만, 자기공명영상촬영(MRI) 등 각종 비급여 항목은 190%라는 연구 결과도 있다. 이 때문에 병원들은 각종 고가의 검사 장비 등을 매우 빠른 속도로 들여온다. 경제협력개발기구(OECD)의 2011년 자료를 보면 우리나라는 엠아르아이의 경우 인구 100만명당 19.9대로 오이시디 회원국 평균인 12.5대보다 훨씬 많다는 사실은 그 단적인 예다. 2005~2011년 국내 엠아르아이 기기 대수는 6년 만에 81.9%나 늘어났고, 엠아르아이 촬영 횟수 증가율은 같은 기간 한 해 평균 13.3%에 이른다. 이런 현상은 수술에서도 나타난다. 기존 수술법에 견줘 최고 10배나 비싼 로봇수술 기계도 매우 빠르게 늘어나고 있다. 30억원이 넘는 고가의 장비인데도 2010년 기준 33대나 수입돼 아시아에서는 가장 많다. 반면 입원 환자라도 의사나 간호사를 만나기란 쉽지 않다. 우선 우리나라의 활동 의사 수는 2011년 기준 인구 1000명당 2명으로 오이시디 회원국 평균(3.2명)보다 한참 적다. 간호사도 사정은 비슷하다. 오이시디 자료를 보면 2010년 기준 한국의 인구 1000명당 활동 간호사 수는 2.3명이다. 이는 오이시디 평균(9.3명)의 25% 정도로, 비교 가능한 23개국 가운데 우리나라가 최저 수준이다. 간호사가 많은 룩셈부르크나 스위스 같은 나라는 인구 1000명당 16명이 넘는다. 김윤미 을지대 간호학과 교수는 “간호 인력이 많을수록 간호 서비스 수준이 높아지고 환자들의 생명을 살릴 가능성이 크다는 것은 국내외 연구에서 모두 확인된다”고 지적했다.OECD 평균 75%에 크게 못미쳐 영리화 심각한 미국도 25% 육박민간병원, 수익성 낮은 분야 외면 감염전문 인력 등 인프라 안갖춰 2009년 신종플루때 정부 우왕좌왕박근혜정부 의료영리화 가속화 “세월호처럼 국민안전 위협 심각” ■ 적정진료할 공공의료는 무너지고민간병원 90%, 공공병원 10%(병상 수 기준). 세계에서 유례를 찾을 수 없는 수치다. 의료 영리화가 가장 심각하다는 미국조차 공공의료 비율이 24.9%이며, 오이시디 평균은 75.1%다. 우리나라는 공공병원 비중이 너무 적어 정부가 적정의료를 추진하거나, 국가 재난 등에 제대로 대처할 수 없을 정도다. 열악한 공공의료의 폐해는 2009년에 여실히 드러났다. 전염성이 강한 ‘신종 인플루엔자’(신종플루)가 세계를 휩쓸 당시 정부는 우왕좌왕했다. 민간병원들은 수익이 되지 않는 감염전문 인력이나 격리병동 등 인프라가 전혀 없었다. 신종플루 환자를 일반환자들이 꺼려 진료를 거부하는 병원도 많았고, 급조한 컨테이너에서 치료받는 환자들도 대거 등장했다. 우리나라 최대 공공병원인 서울대병원이 신종플루 거점병원 지정을 거부하다 여론에 밀려 합류한 일도 있었다. 공공병원마저 수익에 내몰린 점도 심각하다. 공공병원도 ‘수지타산’이 맞지 않는 진료과를 없애고 있다. 국립중앙의료원이 작성한 ‘지방의료원 운영진단 및 개선방안 연구’ 보고서를 보면, 전국 34개 지방의료원 가운데 소아청소년과가 없는 곳은 5곳, 산부인과가 없는 곳은 7곳이나 됐다. 신경과(12곳)·정신건강의학과(19곳) 등 주요 진료과목에서도 구멍이 숭숭 뚫려 있다. 지난해 홍준표 경남도지사는 적자가 심하다며 진주의료원을 폐업시키기도 했다. 지방의료원도 수익을 위해 주요 진료과목은 없애는 대신 장례식장, 건강검진센터 등을 운영하고 있는 실정이다. ■ 박근혜 정부, 의료 영리화 가속화현실이 이런데도 박근혜 정부는 의료 영리화 정책에 더욱 속도를 내고 있다. 지난해 12월 나온 정부의 ‘4차 투자활성화대책’을 보면 정부는 의료법인 병원들이 영리 자회사를 세워 각종 수익사업을 할 수 있도록 추진하기로 했다. 또 거대 통신회사들의 이해에 맞춰 원격의료를 허용하는 안을 담은 의료법 개정안도 지난 3월 말 국무회의를 통과했다. 보건의료 시민단체들은 정부의 의료 영리화 정책으로 환자들의 의료비가 폭등하는 것은 물론 수익을 좇아야만 하는 병원들이 환자들의 안전까지도 등한시하게 되는 결과를 낳을 것이라고 비판한다. 보건의료단체연합은 19일 성명을 내어 “병원이 영리 자회사를 세울 수 있고 원격의료를 허용해 거대 통신회사가 인프라를 깔게 하는 등 의료 민영화 정책을 추진하면 병원과 통신회사는 수익을 크게 남길 것이다. 미국에서 드러난 것처럼 영리병원은 비영리병원보다 사망률이 약 2%포인트 높다. 안전을 등한시하고 수익을 중심에 두다 보니 세월호 침몰 사건이 나타난 것처럼, 의료 영리화 정책은 환자 안전을 심각하게 위협하게 될 것”이라고 지적했다. 김양중 의료전문기자, 김소연 기자 himtrain@hani.co.kr","X",NA
